position,name,location,school,height,weight,fourty,stars,rating,rank,institution,year
de,Deljuan Robinson,"Hernando, Mississippi",Hernando,78,288,,5,,1,Mississippi State,2003
rb,Reggie Bush,"San Diego, California",Helix,78,180,,5,,1,USC,2003
de,Jarvis Moss,"Denton, Texas",Ryan,78,220,,5,,1,Florida,2003
rb,Maurice Drew,"Concord, California",De La Salle,65,190,,4,,1,UCLA,2003
ath,Whitney Lewis,"Ventura, California",St. Bonaventure,78,215,,5,,,USC,2003
db,Prescott Burgess,"Warren, Ohio",Harding,78,210,,5,,1,Michigan,2003
de,Joe Cohen,"Palm Bay, Florida","",78,240,,5,,1,Florida,2003
wr,Andre Caldwell,"Tampa, Florida",Jefferson,78,180,,5,,1,Florida,2003
dt,Nathaniel Robinson,"Irvington, New Jersey","",78,319,,5,,1,Rutgers,2003
qb,Robert Lane,"Monroe, Louisiana",Neville,78,210,,4,,1,Mississippi,2003
lb,Ernie Sims,"Tallahassee, Florida",North Florida Christian,78,220,,5,,1,Florida State,2003
te,Tony Hills Jr.,"Alief, Texas",Elsik,78,260,,5,,1,Texas,2003
ol,Jorrie Adams,"Jasper, Texas","",78,275,,5,,1,Texas A&M,2003
lb,Justin Warren,"Tyler, Texas",Tyler Lee,78,220,,4,,1,Texas A&M,2003
ol,Jordy Lipsey,"Altamonte Springs, Florida",Lake Brantley,78,267,,4,,1,Virginia,2003
qb,Kyle Wright,"Danville, California",Monte Vista,78,200,,5,,1,Miami (FL),2003
ol,Ofa Mohetau,"Euless, Texas",Trinity School,78,335,,5,,1,Brigham Young,2003
db,Paul Oliver,"Kennesaw, Georgia",Harrison,78,185,,5,,1,Georgia,2003
rb,Emeka Nnoli,"Sacramento, California",Natomas,78,225,,4,,1,Stanford,2003
k,Chase Goggans,"Douglas, Georgia",Coffee County,65,160,,3,,1,Florida State,2003
te,Greg Olsen,"Wayne Hills, New Jersey",Wayne Hills,78,235,,5,,2,Miami (FL),2003
ol,Derek Morris,"Huntersville, North Carolina",North Mecklenburg,78,350,,5,,2,North Carolina State,2003
wr,Chad Jackson,"Hoover, Alabama","",78,200,,5,,2,Florida,2003
qb,Chris Leak,"Charlotte, North Carolina",Independence,78,205,,4,,2,Florida,2003
qb,Dennis Dixon,"San Leandro, California",San Leandro,78,180,,4,,2,Oregon,2003
db,Dee Webb,"Jacksonville, Florida",Ed White,78,185,,5,,2,Florida,2003
rb,LeRon McClain,"Tuscaloosa, Alabama",Tuscaloosa County,78,245,,4,,2,Alabama,2003
de,Shawn Crable,"Massillon, Ohio",Washington,78,230,,4,,2,Michigan,2003
ath,Michael Bush,"Louisville, Kentucky",Male,78,225,,4,,,Louisville,2003
ol,Drew Radovich,"Mission Viejo, California","",78,275,,4,,2,USC,2003
lb,Jim Presley,"Highland, Michigan",Milford,78,225,,4,,2,Michigan,2003
rb,Rashaun Grant,"Tampa, Florida",Jefferson,65,190,,4,,2,Georgia Tech,2003
de,Justin Ostrowski,"Portage, Wisconsin","",78,255,,5,,2,Wisconsin,2003
dt,Lawrence Dampeer,"Decatur, Illinois",Decatur MacArthur,78,275,,4,,2,Oklahoma,2003
rb,Kregg Lumpkin,"Stone Mountain, Georgia",Stephenson,78,190,,5,,2,Georgia,2003
db,Quinton Culberson,"Jackson, Mississippi",Provine,78,205,,5,,2,Mississippi State,2003
ol,Jerry Sevin,"River Ridge, Louisiana",John Curtis,78,296,,4,,2,LSU,2003
lb,Wesley Jefferson,"Brandywine, Maryland",Gwynn Park,78,230,,5,,2,Maryland,2003
ol,Martin O'Donnell,"Downers Grove, Illinois",Downers Grove South,78,290,,5,,2,Illinois,2003
k,Jay Ottovegio,"Fort Lauderdale, Florida",St. Thomas Aquinas,78,190,,3,,2,Stanford,2003
lb,LaMarr Woodley,"Saginaw, Michigan",Saginaw,78,245,,5,,3,Michigan,2003
db,Donte Whitner,"Cleveland, Ohio",Glenville Academic Campus,65,175,,4,,3,Ohio State,2003
ath,Steve Smith,"Woodland Hills, California",Taft,65,190,,4,,,USC,2003
