position,name,location,school,height,weight,fourty,stars,rating,rank,institution,year
de,Jadeveon Clowney,"Rock Hill, South Carolina",South Pointe,78,247,,5,,1,South Carolina,2011
ol,Cyrus Kouandjio,"Hyattsville, Maryland",DeMatha,0,322,,5,,1,Alabama,2011
db,Malcolm Mitchell,"Valdosta, Georgia",Valdosta,78,187,,4,,1,Georgia,2011
qb,Jeff Driskel,"Oviedo, Florida",Hagerty,78,225,,4,,1,Florida,2011
qb,Braxton Miller,"Huber Heights, Ohio",Wayne,78,185,,4,,1,Ohio State,2011
wr,George Farmer,"Gardena, California",Junipero Serra,78,192,,5,,1,USC,2011
de,Ray Drew,"Thomasville, Georgia",Thomas County Central,0,243,,5,,1,Georgia,2011
lb,Curtis Grant,"Richmond, Virginia",Hermitage,78,222,,5,,1,Ohio State,2011
rb,Demetrius Hart,"Orlando, Florida",Dr. Phillips,65,190,,5,,1,Alabama,2011
db,Hasean Clinton-Dix,"Orlando, Florida",Dr. Phillips,78,190,,5,,1,Alabama,2011
dt,Anthony Johnson,"New Orleans, Louisiana",O. Perry Walker,78,298,,5,,1,LSU,2011
ath,De'Anthony Thomas,"Los Angeles, California",Crenshaw,0,160,,5,,1,Oregon,2011
rb,Malcolm Brown,"Cibolo, Texas",Steele,78,220,,5,,1,Texas,2011
lb,Tony Steward,"St Augustine, Florida",Menendez,78,225,,5,,1,Clemson,2011
ol,Reese Dismukes,"Spanish Fort, Alabama",Spanish Fort,78,287,,4,,1,Auburn,2011
te,Nick O'Leary,"West Palm Beach, Florida",Dwyer,78,235,,4,,1,Florida State,2011
rb,Hunter Joyer,"Wesley Chapel, Florida",Wesley Chapel,78,245,,3,,1,Florida,2011
ol,Aundrey Walker,"Cleveland, Ohio",Glenville Academic Campus,0,355,,4,,1,USC,2011
k,Taylor Bertolet,"Reading, Pennsylvania",Exeter Township Senior,65,165,,3,,1,Texas A&M,2011
qb,Cody Kessler,"Bakersfield, California",Centennial,0,208,,4,,2,USC,2011
lb,Kris Frost,"Matthews, North Carolina",Butler,78,210,,5,,2,Auburn,2011
qb,Brett Hundley,"Chandler, Arizona",Chandler,78,210,,4,,2,UCLA,2011
ol,La'El Collins,"Baton Rouge, Louisiana",Redemptorist,78,285,,5,,2,LSU,2011
db,Karlos Williams,"Davenport, Florida",Ridge,78,210,,5,,2,Florida State,2011
db,Marcus Roberson,"Ft. Lauderdale, Florida",St. Thomas Aquinas,78,170,,4,,2,Florida,2011
de,Ishaq Williams,"Brooklyn, New York",Abraham Lincoln,78,230,,5,,2,Notre Dame,2011
lb,C.J. Johnson,"Philadelphia, Mississippi",Philadelphia,78,235,,5,,2,Mississippi,2011
de,Stephon Tuitt,"Monroe, Georgia",Monroe Area,78,260,,5,,2,Notre Dame,2011
rb,Herschel Sims,"Abilene, Texas",Abilene,65,190,,4,,2,Oklahoma State,2011
ol,Greg Robinson,"Thibodaux, Louisiana",Thibodaux,0,296,,4,,2,Auburn,2011
rb,James Wilder Jr.,"Tampa, Florida",Plant,0,219,,5,,2,Florida State,2011
dt,Timmy Jernigan,"Lake City, Florida",Columbia,78,275,,4,,2,Florida State,2011
