position,name,location,school,height,weight,fourty,stars,rating,rank,institution,year
de,Antonneous Clayton,"Vienna, Georgia",Dooly County,78,218,,4,,1,Florida,2016
ol,Baveon Johnson,"Lakeland, Florida",Lake Gibson,78,332,,4,,1,Florida State,2016
db,Levonta Taylor,"Virginia Beach, Virginia",Ocean Lakes,65,180,,5,,1,Florida State,2016
ol,Patrick Hudson,"Silsbee, Texas",Silsbee,78,330,,4,,1,Baylor,2016
qb,Shea Patterson,"Bradenton, Florida",IMG Academy,78,193,,5,,1,Mississippi,2016
db,Saivion Smith,"Bradenton, Florida",IMG Academy,78,183,,4,,1,LSU,2016
de,Marlon Davidson,"Greenville, Alabama",Greenville,78,279,,5,,1,Auburn,2016
qb,Jacob Eason,"Lake Stevens, Washington",Lake Stevens,78,207,,5,,1,Georgia,2016
rb,Miles Sanders,"Pittsburgh, Pennsylvania",Woodland Hills,65,200,,4,,1,Penn State,2016
k,Quinn Nordin,"Rockford, Michigan",Rockford,78,200,,3,,1,Penn State,2016
ol,Jonah Williams,"Folsom, California",Folsom,78,280,,5,,2,Alabama,2016
qb,Malik Henry,"Long Beach, California",Poly,78,174,,5,,2,Florida State,2016
de,Nick Bosa,"Fort Lauderdale, Florida",St. Thomas Aquinas,78,255,,5,,2,Ohio State,2016
wr,N'Keal Harry,"Chandler, Arizona",Chandler,78,211,,5,,2,Arizona State,2016
te,Kaden Smith,"Flower Mound, Texas",Marcus,78,233,,4,,2,Stanford,2016
qb,K.J. Costello,"Rancho Santa Margarita, California",Santa Margarita Catholic,78,218,,4,,2,Stanford,2016
rb,Kingston Davis,"Prattville, Alabama",Prattville,78,242,,3,,2,Michigan,2016
de,Janarius Robinson,"Panama City, Florida",Bay,78,224,,4,,2,Florida State,2016
rb,Tavien Feaster,"Spartanburg, South Carolina",Spartanburg,65,192,,4,,2,Clemson,2016
ol,Connor McGovern,"Lehman, Pennsylvania",Lake Lehman Senior,78,308,,4,,2,Penn State,2016
lb,Krys Barnes,"Bakersfield, California",Liberty,78,220,,4,,2,UCLA,2016
k,JJ Molson,"Montreal, NA",John Abbott College,78,190,,3,,2,UCLA,2016
qb,Dwayne Haskins Jr.,"Potomac, Maryland",Bullis School,78,188,,4,,3,Maryland,2016
qb,Feleipe Franks,"Crawfordville, Florida",Wakulla,78,203,,4,,3,LSU,2016
db,Eric Monroe,"Houston, Texas",North Shore,78,180,,4,,3,LSU,2016
ol,Tommy Kraemer,"Cincinnati, Ohio",Elder,78,310,,4,,3,Notre Dame,2016
ol,Drake Jackson,"Versailles, Kentucky",Woodford County,78,307,,4,,3,Kentucky,2016
lb,Tre Lamar,"Roswell, Georgia",Roswell,78,240,,4,,3,Clemson,2016
rb,Elijah Holyfield,"College Park, Georgia",Woodward Academy,65,195,,4,,3,Georgia,2016
te,Jake Hausmann,"Cincinnati, Ohio",Moeller,78,228,,4,,3,Ohio State,2016
wr,DeKaylin Metcalf,"Oxford, Mississippi",Oxford,78,211,,4,,3,Mississippi,2016
k,Tucker McCann,"O'Fallon, Illinois",O'Fallon,78,185,,3,,3,Missouri,2016
rb,Kameron Martin,"Port Arthur, Texas",Port Arthur Memorial,65,170,,4,,4,Baylor,2016
qb,Austin Kendall,"Waxhaw, North Carolina",Cuthbertson,78,210,,4,,4,Oklahoma,2016
lb,Jaquan Yulee,"Chesapeake, Virginia",Indian River,78,246,,4,,4,Alabama,2016
qb,Shane Buechele,"Arlington, Texas",Arlington Lamar,78,185,,4,,4,Texas,2016
wr,Tyler Vaughns,"La Puente, California",Bishop Amat,78,176,,4,,4,USC,2016
dt,Ed Oliver,"Houston, Texas",Westfield,78,290,,4,,4,Houston,2016
ol,Toleafoa Auwae,"Kapolei, Hawaii",Kapolei,78,296,,3,,4,UCLA,2016
te,Naseir Upshur,"Philadelphia, Pennsylvania",Imhotep Inst Charter School,78,238,,4,,4,Florida State,2016
rb,Jo-El Shaw,"Pittsburgh, Pennsylvania",Woodland Hills,78,230,,3,,4,Western Michigan,2016
ol,Ben Bredeson,"Hartland, Wisconsin",Arrowhead,78,280,,4,,4,Michigan,2016
rb,Justin Connor,"Sardis, Mississippi",North Panola,65,186,,4,,4,Mississippi,2016
ol,Ben Cleveland,"Toccoa, Georgia",Stephens County,78,327,,4,,4,Georgia,2016
wr,Theo Howard,"Westlake Village, California",Westlake,78,175,,4,,5,UCLA,2016
db,Chauncey Gardner,"Cocoa, Florida",Cocoa,65,190,,4,,5,Florida,2016
qb,Jack Allison,"Palmetto, Florida",Palmetto,78,181,,4,,5,Miami (FL),2016
qb,Jarrett Guarantano,"Oradell, New Jersey",Bergen Catholic,78,188,,4,,5,Tennessee,2016
k,Braden Mann,"Cypress, Texas",Cy-Fair,78,190,,3,,5,Texas A&M,2016
rb,B.J. Emmons,"Morganton, North Carolina",Freedom,65,225,,4,,5,Alabama,2016
ol,Landon Young,"Lexington, Kentucky",Lafayette,78,298,,4,,5,Kentucky,2016
ath,DeMario McCall,"North Ridgeville, Ohio",North Ridgeville,65,180,,4,,5,Ohio State,2016
de,Jonathon Cooper,"Gahanna, Ohio",Lincoln,78,232,,4,,5,Ohio State,2016
ol,Michael Onwenu,"Detroit, Michigan",Cass Tech,78,367,,4,,5,Michigan,2016
rb,Jalen Starks,"Encino, California",Crespi,78,240,,3,,5,UCLA,2016
rb,Jordon Brown,"Durham, North Carolina",Southern Durham,65,179,,4,,5,North Carolina,2016
ol,Keenan Murphy,"Crosby, Texas",Crosby,78,295,,3,,5,Houston,2016
dt,Edwin Alexander,"Hammond, Louisiana",St. Thomas Aquinas,78,328,,4,,5,LSU,2016
lb,Curtis Robinson,"Santa Ana, California",Mater Dei,78,215,,4,,6,Stanford,2016
rb,Tre Turner,"New Orleans, Louisiana",Holy Cross,65,190,,4,,6,Arizona State,2016
