position,name,location,school,height,weight,fourty,stars,rating,rank,institution,year
te,Marcedes Lewis,"Long Beach, California",Poly,78,233,,5,,1,UCLA,2002
rb,Lorenzo Booker,"Ventura, California",St. Bonaventure,65,178,,5,,,Florida State,2002
lb,Ahmad Brooks,"Woodbridge, Virginia",C. D. Hylton,78,230,,5,,1,Virginia,2002
db,Leon Washington,"Jacksonville, Florida",Andrew Jackson,65,180,,5,,1,Florida State,2002
rb,Ciatrick Fason,"Jacksonville, Florida",Fletcher,78,210,,5,,1,Florida,2002
ol,Bobby Morton,"McKinney, Texas","",78,305,,4,,1,Notre Dame,2002
ath,Reggie McNeal,"Lufkin, Texas",Lufkin,78,210,,5,,1,Texas A&M,2002
ol,Justin Blalock,"Plano, Texas",Plano East,78,325,,5,,1,Texas,2002
qb,Vincent Young,"Houston, Texas",Madison,78,195,,5,,1,Texas,2002
dt,Haloti Ngata,"Salt Lake City, Utah",Highlands,78,310,,5,,1,Oregon,2002
db,Darren Williams,"Clarksdale, Mississippi","",78,205,,5,,1,Mississippi State,2002
ol,Nathan Rhodes,"Bakersfield, California",East,78,305,,5,,1,Washington,2002
lb,Ricardo Hurley,"Greenwood, South Carolina","",78,235,,5,,1,South Carolina,2002
wr,Ryan Moore,"Orlando, Florida",Dr. Phillips,78,188,,5,,1,Miami (FL),2002
rb,Maurice Clarett,"Warren, Ohio",Harding,78,230,,5,,1,Ohio State,2002
k,James Wilhoit,"Hendersonville, Tennessee","",78,180,,4,,1,Tennessee,2002
qb,Trent Edwards,"Los Gatos, California","",78,190,,5,,2,Stanford,2002
te,Eric Winston,"Midland, Texas",Tyler Lee,78,255,,4,,2,Miami (FL),2002
ol,Brandon Jeffries,"Shelby, North Carolina",Crest,78,265,,5,,2,Tennessee,2002
k,Todd Pegram,"Plano, Texas",West,65,180,,4,,2,Texas A&M,2002
dt,Rodrique Wright,"Alief, Texas",Hastings,78,330,,5,,2,Texas,2002
ol,Chris Doyle,"Santa Ana, California",Mater Dei,78,285,,4,,2,USC,2002
rb,Michael Johnson,"Newport News, Virginia",Heritage,65,180,,5,,,Virginia,2002
rb,Gerald Riggs Jr.,"Chattanooga, Tennessee",Red Bank,78,220,,5,,2,Tennessee,2002
qb,Marcus Vick,"Newport News, Virginia",Warwick,78,185,,5,,2,Virginia Tech,2002
rb,David Richard,"St. Louis, Missouri",Hazelwood East,78,220,,4,,2,Michigan State,2002
db,Pat Watkins,"Tallahassee, Florida",Lincoln,78,190,,5,,2,Florida State,2002
db,Devin Hester,"Riviera Beach, Florida",Suncoast,65,180,,5,,2,Miami (FL),2002
wr,DiShon Platt,"Punta Gorda, Florida",Charlotte,78,170,,5,,2,Florida State,2002
ath,Chris Davis,"St. Petersburg, Florida",Catholic,78,170,,5,,2,Florida State,2002
lb,Mike D'Andrea,"Avon Lake, Ohio","",78,230,,5,,2,Ohio State,2002
lb,Zach Latimer,"Aurora, Colorado",Gateway High School,78,215,,5,,2,Oklahoma,2002
de,Bryan Pickryl,"Jenks, Oklahoma","",78,225,,5,,2,Texas,2002
lb,A.J. Nicholson,"Winston-Salem, North Carolina",Mount Tabor,78,232,,4,,3,Florida State,2002
rb,Justin Vincent,"Lake Charles, Louisiana",Barbe,78,205,,4,,,LSU,2002
ol,Kyle Williams,"Dallas, Texas",Highland Park,78,271,,4,,3,USC,2002
ath,DaBryan Blanton,"Forney, Texas","",78,165,,4,,3,Oklahoma,2002
lb,Marvin Byrdsong,"Longview, Texas","",78,235,,4,,3,Mississippi State,2002
db,Edorian McCullough,"Garland, Texas",North Garland,65,190,,5,,3,Texas,2002
wr,Marquis Johnson,"Champaign, Illinois",Centennial,78,190,,5,,3,Texas,2002
de,Jonathan Mapu,"Kahuku, Hawaii","",78,265,,5,,3,Tennessee,2002
ol,Derek Landri,"Concord, California",De La Salle,78,280,,4,,3,Notre Dame,2002
rb,Jerious Norwood,"Brandon, Mississippi","",78,200,,5,,3,Mississippi State,2002
db,Darnell Bing,"Long Beach, California",Poly,78,205,,4,,3,USC,2002
qb,James Banks,"Indianapolis, Indiana",Ben Davis,78,195,,5,,3,Tennessee,2002
dt,Gabriel Watson,"Southfield, Michigan","",78,320,,5,,3,Michigan,2002
te,Aaron Kirkland,"Fayetteville, North Carolina",Jack Britt,78,240,,4,,3,Tennessee,2002
qb,Justin Zwick,"Massillon, Ohio",Washington,78,205,,4,,3,Ohio State,2002
rb,Brandon Snow,"Newark, Delaware","",78,225,,4,,3,Penn State,2002
ol,Nick Mangold,"Kettering, Ohio",Alter,78,270,,4,,3,Ohio State,2002
k,David Jordan,"Columbus, Georgia",Brookstone School,78,185,,4,,3,Georgia Tech,2002
dt,Kedric Golston,"Tyrone, Georgia",Sandy Creek,78,285,,4,,4,Georgia,2002
db,Jarrad Page,"San Leandro, California",San Leandro,78,190,,4,,4,UCLA,2002
wr,Ben Obomanu,"Selma, Alabama","",78,182,,5,,4,Auburn,2002
qb,Gavin Dickey,"Tallahassee, Florida",Lincoln,78,190,,4,,4,Florida,2002
ol,Abner Estrada,"Carrollton, Texas",Turner,78,275,,3,,4,Oklahoma,2002
ol,Neale Tweedie,"Allen, Texas",Allen,78,260,,4,,4,Texas,2002
rb,Albert Hardy,"Galena Park, Texas",Galena Park,65,225,,4,,4,Texas,2002
lb,Aaron Harris,"Mesquite, Texas",North Mesquite,78,230,,4,,4,Texas,2002
k,David Abdul,"Massillon, Ohio",Washington,65,180,,4,,4,Pittsburgh,2002
lb,Nate Harris,"Miami, Florida",Edison,78,212,,4,,4,Miami (FL),2002
db,Eric McNeal,"Gardena, California",Serra,78,195,,4,,4,UCLA,2002
ol,Winston Justice,"Long Beach, California",Poly,78,297,,4,,4,USC,2002
rb,Hershel Dennis,"Long Beach, California",Poly,65,190,,4,,,USC,2002
ath,Chris Baker,"Osceola, Arkansas","",78,185,,4,,4,Arkansas,2002
de,Lonnie Davis,"Jacksonville, Florida",Ed White,78,255,,4,,4,Florida State,2002
rb,DeShawn Wynn,"Cincinnati, Ohio",Reading,78,215,,4,,4,Florida,2002
te,Curtis Justus,"Perry, Oklahoma",Perry,78,210,,4,,4,Miami (FL),2002
qb,Anthony Martinez,"Ashland, Virginia",Patrick Henry,78,220,,4,,4,Virginia,2002
de,Tamba Hali,"Teaneck, New Jersey","",78,245,,4,,5,Penn State,2002
ol,Tony Ugoh,"Spring, Texas",Westfield,78,275,,4,,5,Arkansas,2002
ath,Jason Allen,"Muscle Shoals, Alabama","",78,200,,4,,5,Tennessee,2002
dt,Quinn Pitcock,"Piqua, Ohio","",78,285,,4,,5,Ohio State,2002
rb,Selvin Young,"Houston, Texas",Jersey Village,78,195,,4,,5,Texas,2002
lb,Buster Davis,"Daytona Beach, Florida",Mainland,65,228,,4,,5,Florida State,2002
lb,Michael Williams,"Lindale, Texas","",78,225,,4,,5,Texas,2002
wr,Rhema McKnight,"La Palma, California",John F Kennedy,78,180,,4,,5,Notre Dame,2002
rb,Mario Whitney,"Jackson, Missouri",Jackson,78,190,,4,,,Missouri,2002
db,Aaron Miller,"Fresno, California",Edison,78,175,,4,,5,Oklahoma,2002
qb,Matt Gutierrez,"Concord, California",De La Salle,78,208,,4,,5,Michigan,2002
ol,Rob Smith,"Fort Thomas, Kentucky",Highlands,78,290,,4,,5,Tennessee,2002
qb,Lester Ricard Jr.,"Denham Springs, Louisiana",Amite,78,195,,4,,5,LSU,2002
db,Jason Carter,"Jenks, Oklahoma",Jenks,78,178,,4,,5,Oklahoma,2002
rb,Brandon Hancock,"Fresno, California",Clovis West,78,235,,4,,5,USC,2002
k,Jon Peattie,"Clearwater, Florida",Countryside,78,185,,4,,5,Miami (FL),2002
te,Matt Traverso,"Sacramento, California",Christian Brothers,78,245,,4,,5,Stanford,2002
ol,Damian Spradlin,"Bedford, Virginia",Liberty,78,290,,3,,5,Virginia,2002
