position,name,location,school,height,weight,fourty,stars,rating,rank,institution,year
dt,Manuel Wright,"Long Beach, California",Poly,78,315,,4,,6,USC,2002
ath,Jonathan Wade,"Shreveport, Louisiana",Evangel Christian,65,180,,4,,6,Tennessee,2002
ol,Davin Joseph,"Hallandale, Florida","",78,290,,4,,6,Oklahoma,2002
ol,Manuel Ramirez,"Sugarland, Texas",Willowridge,78,315,,3,,6,Texas Tech,2002
db,Vickiel Vaughn,"Plano, Texas",West,78,187,,4,,6,Arkansas,2002
qb,Drew Stanton,"Farmington Hills, Michigan",Harrison,78,215,,4,,6,Michigan State,2002
de,Donny Mateaki,"Honolulu, Hawaii",Iolani,78,260,,4,,6,Washington,2002
rb,David Horne,"Omaha, Nebraska",Central High School,78,195,,4,,6,Nebraska,2002
db,A.J. Davis,"Durham, North Carolina",Northern Durham,78,177,,4,,6,North Carolina State,2002
ol,Doug Datish,"Warren, Ohio",Howland,78,285,,4,,6,Ohio State,2002
wr,Richard Washington,"Fort Myers, Florida","",78,175,,4,,6,North Carolina State,2002
k,Josh Roberts,"Malta, Montana","",78,165,,3,,6,Oklahoma,2002
qb,Isaiah Stanback,"Seattle, Washington",Garfield,78,190,,4,,6,Washington,2002
lb,Berkeley Hutchinson,"Long Branch, New Jersey","",78,230,,4,,6,Rutgers,2002
te,R.J. Coleman,"Clarksburg, West Virginia",Robert C. Byrd,78,260,,4,,6,Ohio State,2002
lb,Scott White,"San Diego, California",Mission Bay,78,230,,4,,6,Washington,2002
rb,J.R. Zwierzynski,"Joliet, Illinois",Joliet Catholic,78,220,,4,,6,Penn State,2002
rb,William Blackmon,"Warwick, Rhode Island",Bishop Hendricksen,78,185,,4,,,Boston College,2002
lb,Garnet Smith,"Arlington, Texas",Lamar,78,221,,4,,7,Texas,2002
te,David Thomas,"Wolfforth, Texas",Frenship,78,210,,4,,7,Texas,2002
db,Micheal Hawkins,"Carrollton, Texas",Turner,78,170,,4,,7,Oklahoma,2002
k,Kyle Schlicher,"Ankeny, Iowa","",65,174,,3,,7,Iowa,2002
ath,Montae Pitts,"Loachapoka, Alabama","",78,180,,4,,7,Auburn,2002
lb,Chris Herring,"Batesville, Mississippi",South Panola,78,257,,4,,7,Mississippi,2002
ol,Heath Benedict,"Highstown, New Jersey",The Peddie School,78,285,,4,,7,Tennessee,2002
wr,Akieem Jolla,"New Orleans, Louisiana",St. Augustine,78,180,,4,,7,Miami (FL),2002
dt,Chase Pittman,"Shreveport, Louisiana",Evangel Christian,78,265,,4,,7,Texas,2002
rb,Nick Turner,"Atlanta, Georgia",Washington,65,191,,4,,7,Mississippi State,2002
de,Markell McKinley,"Weir, Mississippi","",78,267,,4,,7,Mississippi State,2002
de,Jay Moore,"Elkhorn, Nebraska","",78,235,,4,,,Nebraska,2002
db,Nate Salley,"Ft. Lauderdale, Florida",St. Thomas Aquinas,78,180,,4,,7,Ohio State,2002
ol,Randall Swoopes,"Athens, Georgia",Clarke Central,78,305,,3,,7,Georgia,2002
qb,Marc Guillon,"Miramonte, California","",78,185,,4,,7,Miami (FL),2002
ol,Garett Wibel,"Metairie, Louisiana",Rummel,78,315,,4,,7,LSU,2002
rb,Chris Wilson,"Baltimore, Maryland",Catonsville Senior,78,235,,4,,7,Penn State,2002
qb,Anthony Johnson,"Duncan, South Carolina",Byrnes,65,188,,4,,7,UAB,2002
rb,Darnell Hood,"Harper Woods, Michigan",Gallagher,78,185,,4,,,Michigan,2002
ol,Randy Hand,"Fort Myers, Florida",Estero,78,300,,4,,8,Florida,2002
dt,Kyle Williams,"Ruston, Louisiana",Ruston,78,290,,4,,8,LSU,2002
de,Larry Dibbles,"Lancaster, Texas","",78,275,,4,,8,Texas,2002
ath,Steve Breaston,"Pittsburgh, Pennsylvania",Woodland Hills,78,170,,4,,8,Michigan,2002
te,Moe Thompson,"Goose Creek, South Carolina",Stratford,78,255,,4,,8,South Carolina,2002
qb,Drew Olson,"Piedmont, California",Piedmont,78,190,,4,,8,UCLA,2002
lb,Xavier Burgess,"Sacramento, California",Grant,78,220,,4,,8,UCLA,2002
lb,Justin London,"Roanoke, Virginia",Northside,78,218,,4,,8,UCLA,2002
rb,Michael Cooper,"Sylvania, Georgia",Screven County,78,215,,4,,8,Georgia,2002
qb,Tyler Palko,"West Allegheny, Pennsylvania","",78,205,,4,,8,Pittsburgh,2002
rb,Ruben Mayes,"Memphis, Tennessee",Ridgeway,78,240,,4,,8,Tennessee,2002
ol,Kyle Ralph,"Cincinnati, Ohio",St. Xavier,78,280,,4,,8,North Carolina,2002
rb,Skyler Green,"Higgins, Louisiana","",65,192,,4,,,LSU,2002
de,John Wood,"Miami, Florida",American Senior,78,235,,4,,,Miami (FL),2002
wr,Kyle Brown,"West Bloomfield, Michigan","",78,195,,4,,8,Michigan State,2002
db,Abraham Brown,"Sarasota, Florida",Booker,78,205,,4,,8,Louisville,2002
ol,Robby D'Angelo,"Biloxi, Mississippi",Harrison Central,78,285,,3,,8,Southern Miss,2002
k,Tom Malone,"Temescal Canyon, California","",65,175,,3,,8,USC,2002
wr,Devin Aromashodu,"Miami, Florida",Miami Springs,78,185,,4,,9,Auburn,2002
lb,Kelvin Flood,"Dallas, Texas",Kimball,78,210,,4,,9,Texas A&M,2002
rb,Robert Merrill,"San Antonio, Texas",Taft,65,200,,4,,9,TCU,2002
rb,Glenn Ohaeri,"San Bernardino, California",Aquinas,65,194,,4,,,UCLA,2002
ol,Mark Farris,"Pittsburgh, Pennsylvania",North Hills,78,280,,4,,9,Penn State,2002
te,Anthony Fasano,"Verona, New Jersey","",78,230,,4,,9,Notre Dame,2002
de,Brandon Cannon,"Stone Mountain, Georgia",Stephenson,78,240,,4,,,Clemson,2002
qb,Brandon Cox,"Trussville, Alabama",Hewitt Trussville,78,190,,4,,9,Auburn,2002
qb,Curt Dukes,"Stony Point, North Carolina",Newton Conover,78,210,,4,,9,Nebraska,2002
db,Demario Minter,"Stone Mountain, Georgia",Stephenson,65,180,,4,,9,Georgia,2002
ol,Max Jean-Gilles,"North Miami Beach, Florida","",78,340,,4,,9,Georgia,2002
ol,Justin Outten,"Chalfont, Pennsylvania",Central Bucks West,78,277,,3,,9,Syracuse,2002
lb,Cameron Vaughn,"Marrero, Louisiana",Archbishop Shaw,78,220,,4,,9,LSU,2002
ath,Dedrick Harrington,"Mexico, Missouri",Mexico,78,225,,4,,9,Missouri,2002
de,Kevin Harbour,"Los Angeles, California",Loyola,78,253,,4,,9,UCLA,2002
db,I'Lario Vital,"Oakland, California",McClymonds,65,207,,4,,9,San Jose State,2002
rb,Ajenavi Eziemfe,"New Orleans, Louisiana",Edna Karr,78,215,,4,,9,Georgia Tech,2002
dt,Jonathan Lewis,"Richmond, Virginia",Varina,78,290,,4,,9,Virginia Tech,2002
ath,Paul Thompson,"Leander, Texas","",78,195,,4,,10,Oklahoma,2002
lb,Archie McDaniel,"Bay City, Texas","",78,215,,4,,10,Texas A&M,2002
de,Travis Leitko,"The Woodlands, Texas","",78,265,,4,,10,Notre Dame,2002
dt,Marco Martin,"Mesquite, Texas","",78,300,,4,,10,Texas,2002
ol,Marcus McNeill,"Ellenwood, Georgia",Cedar Grove,78,315,,4,,10,Auburn,2002
ol,Josh Brock,"Cartersville, Georgia","",78,280,,4,,10,Georgia,2002
rb,Thomas Clayton,"Alexandria, Virginia",Mt. Vernon,78,197,,4,,10,Florida State,2002
wr,Blake Mackey,"Bakersfield, California","",78,185,,4,,10,Colorado,2002
te,Leonard Pope,"Americus, Georgia","",78,240,,4,,10,Georgia,2002
de,Chris Frome,"Newhall, California",Hart,78,240,,4,,,Notre Dame,2002
ol,Cleodis Floyd,"Seattle, Washington",Franklin,78,270,,3,,10,Portland State,2002
lb,Omar Gaither,"Charlotte, North Carolina",Myers Park,78,210,,4,,10,Tennessee,2002
qb,Joe Tereshinski,"Athens, Georgia",Athens Academy,78,205,,4,,10,Georgia,2002
db,Terrell Walden,"Miami, Florida",Edison,65,165,,4,,10,Miami (FL),2002
db,Vincent Mays,"Sacramento, California",Hiram Johnson,65,195,,4,,10,Fresno State,2002
k,John Derraney,"Fayette County, Georgia","",78,180,,3,,10,North Carolina State,2002
rb,Tristan Walker,"Claremont, California","",78,222,,4,,10,Colorado State,2002
qb,Sam Williams,"Greenwood, South Carolina","",78,185,,4,,10,Middle Tennessee State,2002
rb,Shelton Sampson,"Tacoma, Washington",Clover Park,65,178,,4,,,Washington,2002
rb,Lawrence Vickers,"Houston, Texas",Forest Brook,78,218,,3,,11,Colorado,2002
ath,L'Tydrick Riley,"Crockett, Texas","",78,220,,4,,11,Texas A&M,2002
db,Marcus Hamilton,"Clifton, Virginia",Centreville,78,180,,4,,11,Virginia,2002
de,Shawne Merriman,"Marlboro, Maryland",Douglass,78,225,,4,,,Maryland,2002
db,Jeff Francoeur,"Lilburn, Georgia",Parkview,78,205,,4,,11,Clemson,2002
qb,Matt Moore,"Newhall, California",Hart,78,175,,4,,11,UCLA,2002
rb,De'Angelo Williams,"Wynne, Arkansas","",65,185,,4,,,Memphis,2002
k,Keith Andrews,"Monroe, Louisiana",Ouachita Christian,78,175,,3,,11,Mississippi State,2002
wr,Jejuan Rankins,"Windsor, North Carolina",Bertie,78,175,,4,,11,Oklahoma,2002
lb,Lucas Jackson,"West Monroe, Louisiana","",78,220,,4,,11,Arkansas,2002
ol,Kasey Studdard,"Littleton, Colorado",Highlands Ranch,78,260,,4,,11,Texas,2002
qb,Aryhel Freeman,"East Point, Georgia",Tri Cities,78,200,,4,,11,South Carolina,2002
ol,Terrell McGill,"Miami, Florida",Miami Norland,78,280,,4,,11,LSU,2002
de,Baraka Atkins,"Sarasota, Florida",Booker,78,245,,4,,11,Miami (FL),2002
lb,Bryan Andrews,"Lima, Ohio",Senior,78,225,,4,,11,Wake Forest,2002
dt,Fred Matua,"Wilmington, California",Banning,78,290,,4,,11,USC,2002
te,Brian Mattes,"Plymouth, Pennsylvania",Wyoming Valley W.,78,245,,4,,11,Notre Dame,2002
rb,Randy Hill,"Tempe, Arizona",McClintock,78,200,,4,,11,Arizona State,2002
ol,Will Ward,"Prattville, Alabama",Prattville,78,250,,3,,11,Auburn,2002
ath,Jemalle Cornelius,"Fort Meade, Florida","",78,175,,4,,12,Florida,2002
ol,Jeff Lebby,"Andrews, Texas","",78,275,,4,,12,Oklahoma,2002
db,Vernon Grant,"Duncanville, Texas","",65,173,,4,,12,Oklahoma State,2002
ol,Cody Douglas,"La Marque, Texas","",78,310,,4,,12,Tennessee,2002
rb,Reshard Dudley,"Marianna, Florida","",65,208,,4,,12,Georgia,2002
qb,Brandon Kirsch,"Lebanon, Pennsylvania",Cedar Crest,78,190,,4,,12,Purdue,2002
lb,Reggie Dent,"Riviera Beach, Florida",Suncoast,78,220,,4,,12,Florida Atlantic,2002
rb,Regis Edgerson,"Garfield Heights, Ohio","",78,220,,3,,12,South Carolina,2002
qb,Troy Smith,"Cleveland, Ohio",Glenville Academic Campus,78,200,,4,,12,Ohio State,2002
wr,Maurice Stovall,"Radnor, Pennsylvania",Carroll,78,208,,4,,12,Notre Dame,2002
de,Marlon Brisco,"Inglewood, California",Morningside,78,225,,4,,,Arizona,2002
te,Justin Bruce,"Lindale, Georgia",Pepperell,78,250,,4,,12,Auburn,2002
de,Tim Schafer,"Upper Arlington, Ohio","",78,245,,4,,12,Ohio State,2002
db,Jim Kanuch,"Johnstown, Pennsylvania",Westmont-Hilltop,78,190,,4,,12,Penn State,2002
ol,Tyler Morgan,"Hot Springs, Arkansas","",78,265,,3,,12,Arkansas,2002
k,Justin Medlock,"Freemont, California","",78,180,,3,,12,UCLA,2002
lb,Jeremy Van Alstyne,"Greenwood, Indiana",Center Grove,78,235,,4,,12,Michigan,2002
rb,Tony Franklin,"Bedford, Ohio",Chanel,65,175,,3,,,Virginia,2002
qb,Cedric Washington,"Bryan, Texas","",78,183,,4,,13,Arkansas,2002
qb,Wyatt Sexton,"Tallahassee, Florida",Leon,78,185,,4,,13,Florida State,2002
k,Tom Hagan,"Roanoke, Virginia",Cave Spring,78,170,,3,,13,Virginia,2002
ol,Mike Kolodziej,"Joliet, Illinois",Joliet Catholic,78,275,,4,,13,Michigan,2002
de,Dale Dixson,"Garland, Texas","",78,265,,4,,13,Georgia,2002
ath,Fabian Washington,"Bradenton, Florida",Bayshore,78,175,,4,,13,Nebraska,2002
wr,Jason Avant,"Chicago, Illinois",Carver,78,200,,4,,13,Michigan,2002
rb,Brian Calhoun,"Oak Creek, Wisconsin",Oak Creek,65,190,,4,,13,Colorado,2002
ol,Jay Kirkland,"New Albany, Mississippi",Daniel,78,300,,4,,13,Mississippi,2002
db,Jason Spadoni,"River Ridge, Louisiana",John Curtis,78,205,,4,,13,LSU,2002
rb,Kellen Marshall,"Las Vegas, Nevada",Cimarron,65,175,,3,,,Oregon State,2002
de,Randy Earle,"Farmingdale, New York","",78,225,,4,,,Maryland,2002
te,Zach Zwilling,"St. Peters, Missouri",Fort Zumwalt South,78,250,,4,,13,Missouri,2002
lb,Bobby Carpenter,"Lancaster, Ohio","",78,235,,4,,13,Ohio State,2002
lb,Brandon Ala,"Honolulu, Hawaii",Kamehameha,78,225,,4,,13,Washington,2002
db,Marcus McCutcheon,"Huntington Beach, California",Edison,78,180,,4,,13,Stanford,2002
db,Brian Crum,"Woodbine, Georgia",Camden County,78,210,,4,,14,Florida,2002
qb,Austin Flynn,"Deer Park, Texas","",78,190,,4,,14,Iowa State,2002
dt,Tommy Jackson,"Opelika, Alabama",Opelika,78,280,,4,,14,Auburn,2002
qb,Noah Allen,"Pearland, Texas","",78,209,,4,,14,Oklahoma,2002
ol,Brian Borgoyn,"Pittsburgh, Pennsylvania",Woodland Hills,78,290,,4,,14,Penn State,2002
lb,Wayne Chambers,"Grandview, Missouri","",78,235,,4,,14,Oklahoma,2002
lb,Dallas Sartz,"Granite Bay, California","",78,215,,4,,14,USC,2002
rb,Greg Pruitt Jr.,"Shaker Heights, Ohio","",65,195,,3,,,Minnesota,2002
de,Kareem Brown,"Miami, Florida",Miami Norland,78,265,,4,,14,Miami (FL),2002
wr,Darnell Jenkins,"Miami, Florida",Central,65,172,,4,,14,Miami (FL),2002
db,Greg Threat,"Tallahassee, Florida",Lincoln,78,185,,4,,14,Miami (FL),2002
ath,Blair Irvin,"Patterson, Louisiana","",78,170,,4,,14,LSU,2002
ol,Clayton Walker,"Scottsdale, Arizona",Horizon,78,270,,4,,14,Washington,2002
rb,Wali Lundy,"Willingboro, New Jersey",Holy Cross,78,195,,4,,14,Virginia,2002
de,Adam Braidwood,"Vancouver, British Columbia",Sequam Senior,78,225,,3,,,Washington State,2002
te,George Cooper,"Westerville, Ohio",North,78,250,,4,,14,Georgia Tech,2002
rb,Jason Snelling,"Chesterfield, Virginia",L.C. Bird,78,215,,3,,14,Virginia,2002
lb,Randolph Crowder,"Sandy Springs, Georgia",North Springs,78,220,,4,,15,Florida,2002
db,Brodney Pool,"Houston, Texas",Westbury,78,193,,4,,15,Oklahoma,2002
ol,Chris Felder,"Oelwein, Iowa","",78,295,,4,,15,Iowa,2002
wr,Mark LeFlore,"Omaha, Nebraska",Central High School,78,185,,4,,15,Nebraska,2002
dt,Chris Turner,"Jacksonville, Florida",Ed White,78,265,,4,,15,Florida State,2002
de,Andrew Wicker,"Clinton, Louisiana",Silliman,78,260,,4,,15,Mississippi,2002
rb,J.D. Groves,"Keizer, Oregon",Mc Nary,78,225,,3,,15,UCLA,2002
lb,Sam McGrew,"Crawfordville, Florida",Wakulla,78,220,,4,,15,Florida State,2002
rb,Jawan Walker,"Erie, Pennsylvania",Cathedral,65,180,,3,,,Pittsburgh,2002
ath,Chansi Stuckey,"Warner Robins, Georgia",Northside,78,170,,4,,15,Clemson,2002
qb,Justin Tyler,"Macon, Georgia",Jones County,78,220,,3,,15,Mississippi State,2002
db,Calvin Lowry,"Fayetteville, North Carolina",Byrd,78,185,,4,,15,Penn State,2002
rb,Frederick Collins,"La Quinta, California","",78,180,,4,,15,San Diego State,2002
de,Steven Kielp,"Riverside, Illinois",Brookfield,78,220,,3,,,Michigan State,2002
te,Ben Patrick,"Savannah, Georgia",Jenkins,78,260,,4,,15,Duke,2002
ol,Samson Satele,"Kailua, Hawaii",Kailua,78,285,,4,,15,Hawaii,2002
k,Alex Pettersen,"Carrollton, Texas",Newman Smith,78,180,,3,,15,Missouri,2002
db,Brandon Merriweather,"Apopka, Florida","",78,175,,3,,16,Miami (FL),2002
qb,Will Proctor,"Winter Park, Florida",Trinity Prep,78,185,,3,,16,Clemson,2002
de,DeMar Baisy,"Seattle, Washington",Rainier Beach,78,225,,3,,,Washington State,2002
wr,Antwuan Smith,"Clovis, California",Buchanan,78,180,,4,,16,UCLA,2002
ath,Idris Moss,"Rialto, California",Eisenhower,78,170,,4,,16,UCLA,2002
rb,Erick Phillips,"Hilliard, Ohio",Davidson,65,205,,3,,,West Virginia,2002
ol,Scott Raridon,"Mason City, Iowa","",78,275,,4,,16,Notre Dame,2002
te,Dominique Byrd,"Minneapolis, Minnesota",Breck,78,230,,4,,16,USC,2002
qb,Ryan O'Hara,"Pasadena, California",Muir,78,193,,3,,16,Arizona,2002
rb,Tristan McClendon,"Albermarle, North Carolina","",78,219,,4,,16,North Carolina State,2002
lb,Tony Taylor,"Watkinsville, Georgia",Oconee County,78,215,,4,,16,Georgia,2002
dt,Greg Jones,"Jonesboro, Arkansas",Jonesboro Senior,78,265,,4,,16,Tennessee,2002
db,Glenn Sharpe,"Miami, Florida",Carol City,65,180,,4,,16,Miami (FL),2002
de,Clifton Ryan,"Saginaw, Michigan",Arthur Hill,78,255,,4,,16,Michigan State,2002
ol,David Beall,"Vancouver, Washington",Mountain View,78,295,,4,,16,Stanford,2002
lb,Chris Hollis,"Aurora, Colorado",Hinkley,78,220,,4,,16,Colorado,2002
rb,Courtney Lewis,"Houston, Texas",Madison,65,175,,3,,,Texas A&M,2002
rb,Pierre Rembert,"Cudahy, Wisconsin","",78,200,,4,,17,Michigan,2002
qb,Christian Olsen,"Wayne Hills, New Jersey","",78,220,,3,,17,Notre Dame,2002
te,Irvin Brisker,"Conyers, Georgia",Rockdale County,78,265,,4,,17,Clemson,2002
ol,James Bonelli,"Ventura, California",St. Bonaventure,78,280,,4,,17,Notre Dame,2002
wr,Mario Raley,"Charlotte, North Carolina",Independence,78,185,,4,,17,Georgia,2002
rb,Dane Todd,"Lincoln, Nebraska",Southeast,78,230,,3,,17,Nebraska,2002
ol,Albert Toeaina,"Antioch, California",Pittsburg,78,335,,4,,17,Oregon,2002
db,Sammy Joseph,"Marrero, Louisiana",Archbishop Shaw,78,185,,4,,17,Colorado,2002
lb,William Beckford,"Belle Glade, Florida",Glades Central,78,215,,4,,17,Rutgers,2002
qb,Perry Patterson,"Lancaster, Pennsylvania",McCaskey,78,230,,3,,17,Syracuse,2002
ath,Bryan McClendon,"Atlanta, Georgia",Mays,78,180,,4,,17,Georgia,2002
de,Anthony Spencer,"Ft. Wayne, Indiana",Bishop Luers,78,240,,3,,,Purdue,2002
db,Jimmy Williams,"Hampton, Virginia","",78,195,,3,,17,Virginia Tech,2002
de,Alonzo Manuel,"Jennings, Louisiana",Jennings,78,240,,4,,17,LSU,2002
lb,Ricky Miller,"Tustin, California","",78,235,,4,,17,Fresno State,2002
dt,Larry Harrison,"Detroit, Michigan",Martin Luther King,78,290,,4,,17,Michigan,2002
qb,Billy Don Malone,"Paris, Texas",Lamar,78,185,,3,,18,Tulane,2002
db,Matthew Melton,"Tyler, Texas",John Tyler,78,190,,3,,18,Texas,2002
wr,Josh Hannum,"Strath Haven, Pennsylvania","",78,170,,4,,18,Penn State,2002
ol,Dustin Fry,"Summerville, South Carolina","",78,305,,4,,18,Clemson,2002
rb,Jerramy Scott,"Palm Beach Gardens, Florida",Dwyer,65,175,,3,,,Michigan State,2002
