position,name,location,school,height,weight,fourty,stars,rating,rank,institution,year
db,Keenan Allen,"Greensboro, North Carolina",Northern Guilford,0,195,,5,,1,California,2010
ol,Seantrel Henderson,"Saint Paul, Minnesota",Cretin-Derham Hall,78,301,,5,,1,Miami (FL),2010
rb,Marcus Lattimore,"Duncan, South Carolina",Byrnes,78,210,,5,,1,South Carolina,2010
wr,Kyle Prater,"Hillside, Illinois",Proviso West,0,205,,5,,1,USC,2010
de,Ronald Powell,"Moreno Valley, California",Rancho Verde,78,230,,5,,1,Florida,2010
qb,Jake Heaps,"Sammamish, Washington",Skyline,0,195,,4,,1,Brigham Young,2010
ath,Robert Woods,"Gardena, California",Junipero Serra,78,180,,5,,1,USC,2010
lb,Jordan Hicks,"West Chester, Ohio",Lakota West,78,220,,5,,1,Texas,2010
de,Jackson Jeffcoat,"Plano, Texas",Plano West,78,230,,5,,1,Texas,2010
dt,Sharrif Floyd,"Philadelphia, Pennsylvania",George Washington,78,310,,5,,1,Florida,2010
qb,Devin Gardner,"Detroit, Michigan",Inkster,0,195,,4,,1,Michigan,2010
db,Lamarcus Joyner,"Fort Lauderdale, Florida",St. Thomas Aquinas,0,166,,5,,1,Florida State,2010
te,Xavier Grimble,"Las Vegas, Nevada",Bishop Gorman,78,245,,4,,1,USC,2010
ol,Trey Hopkins,"Galena Park, Texas",North Shore,78,270,,4,,1,Texas,2010
k,Kip Smith,"Broomfield, Colorado",Legacy,78,200,,3,,1,UCLA,2010
ol,Dominic Espinosa,"Cedar Park, Texas",Cedar Park,78,295,,4,,1,Texas,2010
rb,Soma Vainuku,"Eureka, California",Eureka,78,251,,4,,1,USC,2010
rb,Dillon Baxter,"San Diego, California",Mission Bay,0,187,,5,,1,USC,2010
lb,Jeff Luc,"Port St. Lucie, Florida",Treasure Coast,78,230,,4,,1,Florida State,2010
de,Chris Martin,"Aurora, Colorado",Grandview High School,0,240,,5,,2,California,2010
wr,Da'Rick Rogers,"Calhoun, Georgia",Calhoun,78,206,,5,,2,Tennessee,2010
ol,Robert Crisp,"Raleigh, North Carolina",Athens Drive,0,299,,5,,2,North Carolina State,2010
db,DeMarcus Milliner,"Millbrook, Alabama",Stanhope Elmore,78,180,,5,,2,Alabama,2010
ath,Latwan Anderson,"Cleveland, Ohio",Glenville Academic Campus,65,185,,5,,2,Miami (FL),2010
ol,A.J. Cann,"Bamberg, South Carolina",Bamberg-Ehrhardt,78,260,,4,,2,South Carolina,2010
db,Matt Elam,"West Palm Beach, Florida",Dwyer,78,205,,5,,2,Florida,2010
dt,Dominique Easley,"Staten Island, New York",Curtis,78,258,,5,,2,Florida,2010
qb,Robert Bolden,"Orchard Lake, Michigan",St. Mary's,0,195,,4,,2,Penn State,2010
te,Gerald Christian,"West Palm Beach, Florida",Dwyer,78,220,,4,,2,Florida,2010
rb,Michael Dyer,"Little Rock, Arkansas",Little Rock Christian,0,201,,5,,2,Auburn,2010
