position,name,location,school,height,weight,fourty,stars,rating,rank,institution,year
rb,Brennan Clay,"San Diego, California",Scripps Ranch,78,190,,4,,2,Oklahoma,2010
de,Owamagbe Odighizuwa,"Portland, Oregon",David Douglas,0,234,,5,,2,UCLA,2010
lb,Nick Forbes,"Frederick, Maryland",Thomas Johnson,0,223,,4,,2,California,2010
k,Michael Palardy,"Ft. Lauderdale, Florida",St. Thomas Aquinas,78,170,,3,,2,Tennessee,2010
lb,Christian Jones,"Winter Park, Florida",Lake Howell,78,220,,5,,2,Florida State,2010
rb,Zach Zwinak,"Frederick, Maryland",Linganore,0,230,,4,,2,Penn State,2010
ol,Quinton Spain,"Petersburg, Virginia",Petersburg,78,330,,4,,2,West Virginia,2010
qb,Phillip Sims,"Chesapeake, Virginia",Oscar Smith,78,209,,4,,2,Alabama,2010
wr,Markeith Ambles,"McDonough, Georgia",Henry County,0,182,,5,,3,USC,2010
rb,Lache Seastrunk,"Temple, Texas",Temple,0,192,,5,,3,Oregon,2010
db,Alec Ogletree,"Newnan, Georgia",Newnan,78,210,,4,,3,Georgia,2010
qb,Barry Brunetti,"Memphis, Tennessee",Memphis University School,0,207,,4,,3,West Virginia,2010
dt,George Uko,"Chino, California",Don Lugo,78,300,,4,,3,USC,2010
de,Corey Lemonier,"Hialeah, Florida",Hialeah,0,223,,4,,3,Auburn,2010
lb,Tevin Jackson,"Garland, Texas",Garland,78,230,,4,,3,Texas,2010
qb,Connor Wood,"Houston, Texas",Second Baptist,0,209,,4,,3,Texas,2010
de,William Gholston,"Detroit, Michigan",Southeastern,0,237,,5,,3,Michigan State,2010
lb,Michael Taylor,"Atlanta, Georgia",Westlake,78,213,,4,,3,Florida,2010
ath,Spencer Ware,"Cincinnati, Ohio",Princeton,0,220,,5,,3,LSU,2010
ol,Brandon Linder,"Fort Lauderdale, Florida",St. Thomas Aquinas,78,290,,4,,3,Miami (FL),2010
te,Curtis White,"Eugene, Oregon",Sheldon,78,240,,4,,3,Oregon,2010
rb,D.J. Morgan,"Woodland Hills, California",Taft,65,175,,4,,3,USC,2010
ol,Shon Coleman,"Olive Branch, Mississippi",Olive Branch,78,285,,5,,3,Auburn,2010
ol,Bronson Irwin,"Mustang, Oklahoma",Mustang,0,322,,4,,3,Oklahoma,2010
k,Will Hagerup,"Whitefish Bay, Wisconsin",Whitefish Bay,78,215,,3,,3,Michigan,2010
db,Joshua Shaw,"Palmdale, California",Palmdale,78,195,,4,,3,Florida,2010
rb,Jalston Fowler,"Prichard, Alabama",Vigor,78,240,,4,,3,Alabama,2010
rb,Silas Redd,"Stamford, Connecticut",King & Low Heywood Thomas,0,200,,4,,4,Penn State,2010
db,Tony Jefferson,"Chula Vista, California",Eastlake,78,196,,4,,4,Oklahoma,2010
qb,James Franklin,"Corinth, Texas",Lake Dallas,0,218,,4,,4,Missouri,2010
ol,James Hurst,"Indianapolis, Indiana",Plainfield,0,284,,4,,4,North Carolina,2010
wr,Mike Davis,"Dallas, Texas",Skyline,78,185,,4,,4,Texas,2010
qb,Brett Nottingham,"Danville, California",Monte Vista,78,210,,4,,4,Stanford,2010
lb,Jordan Zumwalt,"Huntington Beach, California",Edison,78,220,,4,,4,UCLA,2010
ol,Erik Kohler,"Westlake Village, California",Oaks Christian,0,264,,4,,4,Washington,2010
dt,Cassius Marsh,"Westlake Village, California",Oaks Christian,0,275,,4,,4,UCLA,2010
te,Christian Thomas,"Palmdale, California",Highland,78,235,,4,,4,USC,2010
k,Matt Darr,"Bakersfield, California",Frontier,78,215,,3,,4,Tennessee,2010
ol,Miles Dieffenbach,"Pittsburgh, Pennsylvania",Fox Chapel Area,78,277,,4,,4,Penn State,2010
ath,Trovon Reed,"Thibodaux, Louisiana",Thibodaux,0,173,,4,,4,Auburn,2010
de,T.J. Stripling,"Decatur, Georgia",Southwest Dekalb,78,215,,4,,4,Georgia,2010
rb,Roy Finch,"Niceville, Florida",Niceville,65,170,,4,,4,Oklahoma,2010
de,Reggie Wilson,"Haltom City, Texas",Haltom,78,240,,4,,4,Texas,2010
rb,Martez Eastland,"Ringgold, Georgia",Ringgold,78,235,,3,,4,Mississippi,2010
db,Jaylen Watkins,"Cape Coral, Florida",Cape Coral,78,172,,4,,4,Florida,2010
lb,Cecil Whiteside,"Newport Beach, California",Newport Harbor,78,220,,4,,4,California,2010
lb,Khairi Fortt,"Stamford, Connecticut",Stamford,0,220,,4,,5,Penn State,2010
ath,Anthony Barr,"Los Angeles, California",Loyola,78,230,,4,,5,UCLA,2010
dt,Jeffrey Whitaker,"Warner Robins, Georgia",Warner Robins,78,295,,4,,5,Auburn,2010
ol,Luke Joeckel,"Arlington, Texas",Arlington,78,280,,4,,5,Texas A&M,2010
db,John Fulton,"Manning, South Carolina",Manning,78,180,,4,,5,Alabama,2010
ol,Christian Lombard,"Palatine, Illinois",Fremd,0,290,,4,,5,Notre Dame,2010
qb,Jesse Scroggins,"Lakewood, California",Lakewood,78,195,,4,,5,USC,2010
k,Brad Wing,"Baton Rouge, Louisiana",Parkview Baptist,78,175,,3,,5,LSU,2010
te,C.J. Fiedorowicz,"Johnsburg, Illinois",Johnsburg,78,240,,4,,5,Iowa,2010
de,Gabe King,"Eugene, Oregon",South Eugene,0,253,,4,,5,California,2010
rb,Brandon Worle,"LaGrange, Georgia",Troup,78,227,,3,,5,LSU,2010
ol,Austin Woods,"Rockwall, Texas",Rockwall-Heath,78,290,,4,,5,Oklahoma,2010
db,Jarrick Williams,"Eight Mile, Alabama",Blount,78,205,,4,,5,Alabama,2010
qb,Terrance Broadway,"Baton Rouge, Louisiana",Capitol,0,197,,4,,5,Houston,2010
rb,Corey Grant,"Opelika, Alabama",Opelika,65,186,,4,,5,Alabama,2010
wr,Ivan McCartney,"Miramar, Florida",Miramar,78,180,,4,,5,West Virginia,2010
rb,Braylon Heard,"Youngstown, Ohio",Cardinal Mooney,65,180,,4,,5,Nebraska,2010
lb,Max Bullough,"Traverse City, Michigan",St Francis Catholic,0,225,,4,,5,Michigan State,2010
de,Corey Miller,"Duncan, South Carolina",Byrnes,78,227,,4,,5,Tennessee,2010
qb,Blake Bell,"Wichita, Kansas",Bishop Carroll,78,210,,4,,6,Oklahoma,2010
ath,Justin McCay,"Shawnee, Kansas",Bishop Miege,0,197,,4,,6,Oklahoma,2010
te,Randall Telfer,"Rancho Cucamonga, California",Rancho Cucamonga,78,220,,4,,6,USC,2010
db,Victor Hampton,"Darlington, South Carolina",Darlington,65,170,,4,,6,South Carolina,2010
rb,Roderick Smith,"Fort Wayne, Indiana",Harding,78,220,,4,,6,Ohio State,2010
de,J.R. Ferguson,"Chatham, Virginia",Hargrave Military Academy,0,272,,4,,6,LSU,2010
rb,Jakhari Gore,"Miami, Florida",Columbus,65,170,,4,,6,LSU,2010
wr,Darius White,"Fort Worth, Texas",Dunbar,78,205,,4,,6,Texas,2010
lb,David Wilkerson,"Danville, California",Monte Vista,78,235,,4,,6,California,2010
ol,Chaz Green,"Tampa, Florida",Tampa Catholic,78,290,,4,,6,Florida,2010
lb,C.J. Mosley,"Theodore, Alabama",Theodore,0,212,,4,,6,Alabama,2010
ol,Eric Mack,"St. Matthews, South Carolina",Calhoun County,78,315,,4,,6,Auburn,2010
rb,Zach Fogerson,"Seattle, Washington",O'Dea,0,225,,3,,6,Washington,2010
dt,Garrison Smith,"Atlanta, Georgia",Douglass,78,250,,4,,6,Georgia,2010
ol,Brandon Vitabile,"Edison, New Jersey",Bishop Ahr,78,298,,3,,6,Northwestern,2010
db,Eric Reid,"Geismar, Louisiana",Dutchtown,78,210,,4,,6,LSU,2010
k,Cody Parkey,"Jupiter, Florida",Jupiter,78,195,,3,,6,Auburn,2010
de,Jacques Smith,"Ooltewah, Tennessee",Ooltewah,78,225,,4,,6,Tennessee,2010
qb,Johnny Deaton,"Sand Springs, Oklahoma",Charles Page,78,195,,4,,6,Oklahoma State,2010
dt,Louis Nix,"Jacksonville, Florida",Raines,78,320,,4,,7,Notre Dame,2010
ol,Jake Matthews,"Missouri City, Texas",Elkins,78,275,,4,,7,Texas A&M,2010
lb,Mike Hull,"Canonsburg, Pennsylvania",Canon McMillan,78,215,,4,,7,Penn State,2010
wr,DeAndrew White,"Galena Park, Texas",North Shore,78,170,,4,,7,Alabama,2010
rb,Josh Huff,"Aldine, Texas",Nimitz,65,185,,4,,7,Oregon,2010
de,Brandon Willis,"Duncan, South Carolina",Byrnes,78,255,,4,,7,North Carolina,2010
db,Dion Bailey,"Lakewood, California",Lakewood,78,195,,4,,7,USC,2010
lb,Prince Shembo,"Charlotte, North Carolina",Ardrey Kell,78,232,,4,,7,Notre Dame,2010
qb,Brion Carnes,"Bradenton, Florida",Manatee,0,181,,4,,7,Nebraska,2010
db,Terrence Mitchell,"Tampa, Florida",Hillsborough,65,165,,4,,7,South Florida,2010
de,Lynden Trail,"Miami, Florida",Booker T. Washington,78,220,,4,,7,Florida,2010
k,Mike Sadler,"Grand Rapids, Michigan",Forest Hills Northern,78,185,,3,,7,Michigan State,2010
te,Austin Haywood,"Moore, Oklahoma",Southmoore,78,245,,4,,7,Oklahoma,2010
ath,Christian Green,"Tampa, Florida",Tampa Catholic,78,200,,4,,7,Florida State,2010
ol,James Stone,"Nashville, Tennessee",Maplewood,78,297,,4,,7,Tennessee,2010
rb,Logan Winkles,"Thomaston, Georgia",Upson Lee,78,240,,3,,7,North Carolina State,2010
ol,Christian Pace,"Avon Lake, Ohio",Avon Lake,0,262,,3,,7,Michigan,2010
rb,Storm Johnson,"Loganville, Georgia",Loganville,78,217,,4,,7,Miami (FL),2010
qb,Tyler Bray,"Kingsburg, California",Kingsburg,0,187,,4,,7,Tennessee,2010
wr,Justin Hunter,"Virginia Beach, Virginia",Ocean Lakes,0,172,,4,,8,Tennessee,2010
ol,Jawuan James,"Suwanee, Georgia",North Gwinnett,0,293,,4,,8,Tennessee,2010
qb,Paul Jones,"McKees Rocks, Pennsylvania",Sto Rox,78,226,,4,,8,Penn State,2010
ol,Torrian Wilson,"Miami, Florida",Northwestern,78,315,,4,,8,UCF,2010
rb,Jordon James,"Corona, California",Corona,65,190,,4,,8,UCLA,2010
dt,Ricky Heimuli,"Salt Lake City, Utah",Brighton,0,280,,4,,8,Oregon,2010
db,Cullen Christian,"Pittsburgh, Pennsylvania",Penn Hills,0,180,,4,,8,Michigan,2010
lb,LaDarius Owens,"Bessemer, Alabama",Jess Lanier,78,225,,4,,8,Auburn,2010
de,Zack McCray,"Lynchburg, Virginia",Brookville,0,236,,4,,8,Virginia Tech,2010
rb,Maurice Hagens,"Tampa, Florida",Tampa Bay Tech,78,235,,3,,8,Miami (FL),2010
ol,Russell Bodine,"Fork Union, Virginia",Fork Union Military Academy,0,285,,3,,8,North Carolina,2010
lb,Jake Holland,"Pelham, Alabama",Pelham,78,228,,4,,8,Auburn,2010
ath,Marquis Flowers,"Goodyear, Arizona",Millennium,78,210,,4,,8,Arizona,2010
rb,Tony Drake,"Dallas, Texas",Skyline,65,176,,3,,8,Colorado State,2010
db,Demetrius Wright,"Corona, California",Corona,78,201,,4,,8,USC,2010
te,Kyle Baublitz,"York, Pennsylvania",Central York,0,254,,4,,8,Penn State,2010
qb,Jeffrey Godfrey,"Miami, Florida",Miami Central,0,167,,3,,8,UCF,2010
de,Alfy Hill,"Shallotte, North Carolina",West Brunswick,78,222,,4,,8,Alabama,2010
dt,Kelcy Quarles,"Greenwood, South Carolina",Greenwood,78,265,,4,,9,South Carolina,2010
qb,Zach Lee,"McKinney, Texas",McKinney,78,195,,4,,9,LSU,2010
ol,Andrew Norwell,"Cincinnati, Ohio",Anderson,78,275,,4,,9,Ohio State,2010
lb,V.J. Fehoko,"Honolulu, Hawaii",Farrington,65,215,,4,,9,Utah,2010
wr,Chris Dunkley,"Pahokee, Florida",Pahokee,0,164,,4,,9,Florida,2010
ath,Malcolm Jones,"Westlake Village, California",Oaks Christian,78,210,,4,,9,UCLA,2010
db,Nickell Robey,"Frostproof, Florida",Frostproof,65,165,,4,,9,USC,2010
te,Brian Vogler,"Columbus, Georgia",Brookstone School,78,248,,4,,9,Alabama,2010
ol,Nick Rowland,"Peoria, Arizona",Centennial,78,300,,4,,9,Oregon,2010
rb,Rajion Neal,"Tyrone, Georgia",Sandy Creek,0,214,,4,,9,Tennessee,2010
ol,Tramell Williams,"Jacksonville, Florida",Robert E. Lee,78,260,,3,,9,South Carolina,2010
qb,Jeremy Johnson,"Silsbee, Texas",Silsbee,78,182,,3,,9,West Virginia,2010
de,Carlos Thompson,"Hollandale, Mississippi",Simmons School,78,220,,4,,9,Mississippi,2010
db,Dietrich Riley,"La Canada, California",St. Francis,0,200,,4,,9,UCLA,2010
lb,Josh Shirley,"Fontana, California",Kaiser,78,225,,4,,9,UCLA,2010
k,Trevor Romaine,"Corona, California",Centennial,78,185,,3,,9,Oregon State,2010
rb,Nick Hill,"Chelsea, Michigan",Chelsea,0,179,,3,,9,Michigan State,2010
de,Bronson Kaufusi,"Provo, Utah",Timpview,0,250,,4,,9,Brigham Young,2010
rb,Dustin Elisara,"Kapolei, Hawaii",Kapolei,78,225,,3,,9,Hawaii,2010
de,Adrian Hubbard,"Norcross, Georgia",Norcross,78,227,,4,,10,Alabama,2010
db,Ahmad Dixon,"Waco, Texas",Midway,78,194,,4,,10,Baylor,2010
db,Christian Bryant,"Cleveland, Ohio",Glenville Academic Campus,0,173,,4,,10,Ohio State,2010
ath,Corey Brown,"Springfield, Pennsylvania",Cardinal O'Hara,0,186,,4,,10,Ohio State,2010
rb,Deontae Cooper,"Perris, California",Citrus Hill,78,205,,4,,10,Washington,2010
de,Jordan Allen,"West Monroe, Louisiana",West Monroe,78,266,,4,,10,LSU,2010
qb,Scotty Young,"Denton, Texas",Ryan,78,185,,4,,10,Texas Tech,2010
ol,Chris Ward,"Santa Ana, California",Mater Dei,0,285,,4,,10,UCLA,2010
qb,Sean Robinson,"Rochester, Illinois",Rochester,78,205,,3,,10,Purdue,2010
dt,Sione Potoae,"Lakewood, Washington",Lakes,78,285,,4,,10,Washington,2010
ol,Jake Alexander,"Jenks, Oklahoma",Jenks,78,270,,3,,10,Tulsa,2010
lb,Kevin Pierre-Louis,"Stamford, Connecticut",King & Low Heywood Thomas,78,215,,4,,10,Boston College,2010
rb,Austin White,"Livonia, Michigan",Stevenson,0,186,,3,,10,Michigan,2010
wr,Martavis Bryant,"Anderson, South Carolina",T. L. Hanna,78,190,,4,,10,Clemson,2010
lb,Caleb Lavey,"Celina, Texas",Celina,0,210,,3,,10,Oklahoma State,2010
ol,Ian Silberman,"Fleming Island, Florida",Fleming Island,0,257,,4,,10,Florida,2010
rb,Cole Moon,"Atlanta, Georgia",St Pius X School,0,202,,3,,10,Georgia State,2010
k,Cade Foster,"Southlake, Texas",Carroll,0,215,,3,,10,Alabama,2010
te,Blake Barker,"Cambridge, Massachusetts",Buckingham Browne & Nichols,78,230,,4,,10,Harvard,2010
wr,Chris Jones,"Daingerfield, Texas",Daingerfield,78,172,,4,,11,Texas,2010
db,Cody Riggs,"Ft. Lauderdale, Florida",St. Thomas Aquinas,0,156,,4,,11,Florida,2010
qb,Matt Brown,"Allen, Texas",Allen,78,185,,3,,11,TCU,2010
ol,Josh Allen,"Cedar Hill, Texas",Cedar Hill,78,256,,3,,11,Louisiana-Monroe,2010
k,William Russ,"Shreveport, Louisiana",Evangel Christian,78,170,,3,,11,Texas,2010
lb,Aaron Benson,"Cedar Hill, Texas",Cedar Hill,78,205,,4,,11,Texas,2010
ath,DeMarco Cobbs,"Tulsa, Oklahoma",Tulsa Central,0,198,,4,,11,Texas,2010
de,Kony Ealy,"New Madrid, Missouri",New Madrid County Central,78,230,,4,,11,Missouri,2010
ol,Nick Demien,"Wentzville, Missouri",Timberland,78,295,,4,,11,Missouri,2010
ol,O.C. Brown,"Memphis, Tennessee",Manassas,0,312,,4,,11,Southern Miss,2010
qb,Mark Myers,"Cleveland, Ohio",St. Ignatius,78,220,,4,,11,Pittsburgh,2010
rb,Eduardo Clements,"Miami, Florida",Booker T. Washington,65,185,,4,,11,Miami (FL),2010
db,Titus Till,"Upper Marlboro, Maryland",Wise,78,200,,4,,11,Maryland,2010
rb,Malcolm Marable,"Mission Hills, California",Bishop Alemany,65,170,,3,,11,Oregon State,2010
te,Alex Smith,"Cincinnati, Ohio",Lakota West,78,260,,4,,11,Kentucky,2010
de,Darious Cummings,"Titusville, Florida",Astronaut,78,245,,4,,11,Florida State,2010
dt,Leon Orr,"New Port Richey, Florida",Gulf,78,300,,4,,11,Florida,2010
lb,Austin Gray,"Warren, Michigan",Fitzgerald School,0,220,,3,,11,Iowa,2010
ath,DeAndre Hopkins,"Central, South Carolina",D. W. Daniel,78,194,,4,,12,Clemson,2010
rb,Dontae Williams,"Houston, Texas",Aldine,0,200,,4,,12,Oregon,2010
lb,Corey Nelson,"Dallas, Texas",Skyline,0,210,,4,,12,Oklahoma,2010
te,Alex Welch,"Cincinnati, Ohio",Elder,78,225,,4,,12,Notre Dame,2010
de,Blake Lueders,"Zionsville, Indiana",Zionsville,78,250,,4,,12,Stanford,2010
qb,Munchie Legaux,"New Orleans, Louisiana",Edna Karr,78,185,,3,,12,Cincinnati,2010
db,Jordan Haden,"Fort Washington, Maryland",Friendly,0,198,,4,,12,Florida,2010
ol,Hroniss Grasu,"Encino, California",Crespi,0,260,,3,,12,Oregon,2010
db,Dior Mathis,"Detroit, Michigan",Cass Tech,0,166,,4,,12,Oregon,2010
dt,Taylor Bible,"Denton, Texas",Guyer,78,280,,4,,12,Texas,2010
qb,Sean Mannion,"Pleasanton, California",Foothill,78,205,,4,,12,Oregon State,2010
rb,Jesse Callier,"Downey, California",Warren,65,185,,3,,12,Washington,2010
ol,Brent Benedict,"Jacksonville, Florida",Bolles,0,278,,4,,12,Georgia,2010
wr,Kadron Boone,"Ocala, Florida",Trinity Catholic,78,190,,4,,12,LSU,2010
de,Craig Sanders,"Ariton, Alabama",Ariton,0,230,,4,,12,Auburn,2010
lb,Chase Williams,"Leesburg, Virginia",Loudoun County,78,225,,3,,12,Virginia Tech,2010
ol,Nathaniel Clarke,"Washington, District of Columbia",Archbishop Carroll,78,282,,4,,12,Maryland,2010
db,Tyrann Mathieu,"New Orleans, Louisiana",St. Augustine,65,175,,4,,13,LSU,2010
de,Geneo Grissom,"Hutchinson, Kansas",Hutchinson,78,230,,4,,13,Oklahoma,2010
ol,Cedric Ogbuehi,"Allen, Texas",Allen,78,270,,4,,13,Texas A&M,2010
lb,Chris McCain,"Greensboro, North Carolina",Northern Guilford,0,203,,4,,13,California,2010
qb,Andrew Hendrix,"Cincinnati, Ohio",Moeller,78,220,,4,,13,Notre Dame,2010
rb,Mack Brown,"Lithonia, Georgia",Martin Luther King,65,185,,4,,13,Florida,2010
wr,Ross Apo,"Arlington, Texas",The Oakridge School,0,190,,4,,13,Brigham Young,2010
ol,Adam Shead,"Cedar Hill, Texas",Cedar Hill,0,315,,3,,13,Oklahoma,2010
ath,Ronnie Vinson,"New Orleans, Louisiana",Isidore Newman School,0,186,,4,,13,LSU,2010
te,Travis Dickson,"Ocean Springs, Mississippi",Ocean Springs,78,235,,4,,13,LSU,2010
rb,Marcus Murphy,"DeSoto, Texas",DeSoto,0,170,,3,,13,Missouri,2010
de,Anthony Williams,"McDonough, Georgia",Union Grove,78,235,,4,,13,Georgia Tech,2010
db,Demar Dorsey,"Lauderdale Lakes, Florida",Boyd Anderson,78,175,,4,,13,Michigan,2010
dt,Calvin Barnett,"Tulsa, Oklahoma",Booker T. Washington,78,330,,4,,13,Arkansas,2010
qb,Anthony Gonzalez,"Bethlehem, Pennsylvania",Liberty,0,193,,3,,13,Pittsburgh,2010
lb,DeAndre Little,"Sierra Vista, Arizona",Buena,0,231,,3,,13,UTEP,2010
rb,Giovani Bernard,"Fort Lauderdale, Florida",St. Thomas Aquinas,65,198,,4,,14,North Carolina,2010
db,Eddrick Loften,"Irving, Texas",Nimitz,65,195,,4,,14,Tennessee,2010
qb,Taylor Graham,"Wheaton, Illinois",Wheaton North,78,211,,4,,14,Ohio State,2010
qb,Brian Blechen,"Moorpark, California",Moorpark,78,205,,3,,14,Utah,2010
de,C.J. Olaniyan,"Warren, Michigan",Warren Mott,78,230,,4,,14,Penn State,2010
ol,Ben Gottschalk,"Sherman Oaks, California",Notre Dame,78,265,,3,,14,Southern Methodist,2010
db,Carrington Byndom,"Lufkin, Texas",Lufkin,78,165,,4,,14,Texas,2010
lb,Kevin Nelson,"Gainesville, Florida",Gainesville,78,220,,3,,14,Miami (FL),2010
ath,Anthony Jefferson,"Los Angeles, California",Cathedral,0,173,,4,,14,UCLA,2010
wr,Kenny Shaw,"Orlando, Florida",Dr. Phillips,78,160,,4,,14,Florida State,2010
rb,Tony Jones,"Ramsey, New Jersey",Don Bosco Prep,65,178,,3,,14,Colorado,2010
lb,Travis Williams,"Norfolk, Virginia",Lake Taylor,0,189,,4,,14,Miami (FL),2010
dt,Ashton Dorsey,"Tyler, Texas",John Tyler,78,276,,4,,14,Texas,2010
te,Josh Fulton,"Phoenix, Arizona",St. Mary's,78,235,,4,,14,Arizona State,2010
ol,Matt James,"Cincinnati, Ohio",St. Xavier,78,290,,4,,14,Notre Dame,2010
de,Jalen Fields,"Dalton, Georgia",Dalton,78,250,,4,,14,Georgia,2010
ol,Zach Fulton,"Homewood, Illinois",Homewood Flossmoor,0,306,,3,,14,Tennessee,2010
ol,Arie Kouandjio,"Hyattsville, Maryland",DeMatha,0,314,,4,,15,Alabama,2010
db,Nick Dew,"Virginia Beach, Virginia",First Colonial,0,183,,4,,15,Virginia Tech,2010
lb,Shaun Lewis,"Missouri City, Texas",Hightower,78,205,,4,,15,Oklahoma State,2010
ath,Hayes Pullard,"Los Angeles, California",Crenshaw,78,220,,4,,15,USC,2010
dt,Mike Thornton,"Stone Mountain, Georgia",Stephenson,78,280,,4,,15,Georgia,2010
rb,Ethan Grant,"Coconut Creek, Florida",North Broward,65,175,,4,,15,TCU,2010
qb,Bryan Bennett,"Encino, California",Crespi,78,185,,4,,15,Oregon,2010
te,Trey Millard,"Columbia, Missouri",Rock Bridge,78,245,,4,,15,Oklahoma,2010
db,Louis Young,"Olney, Maryland",Good Counsel,0,185,,4,,15,Georgia Tech,2010
de,Dexter Morant,"Manning, South Carolina",Manning,78,240,,4,,15,Georgia,2010
lb,Ferlando Bohanna,"Memphis, Tennessee",Whitehaven,0,232,,3,,15,Mississippi State,2010
ol,Torian Box,"College Park, Georgia",North Clayton,78,295,,3,,15,North Carolina State,2010
rb,Raymond Sanders,"Stone Mountain, Georgia",Stephenson,65,175,,3,,15,Kentucky,2010
wr,Vincent Sanders,"Macon, Mississippi",Noxubee County,78,182,,4,,15,Mississippi,2010
ol,Silvarius Ajawara,"Rancho Santa Margarita, California",Tesoro,78,305,,3,,15,Arizona State,2010
de,Ken Wilkins,"Washington, Pennsylvania",Trinity,78,244,,4,,15,Michigan,2010
qb,Tom Parish,"Hartland, Wisconsin",Arrowhead,78,200,,3,,15,Minnesota,2010
rb,Traylon Shead,"Cayuga, Texas",Cayuga,78,215,,4,,16,Texas,2010
lb,Carl Bradford,"Norco, California",Norco,78,220,,3,,16,Arizona State,2010
de,T.J. Clemmings,"Paterson, New Jersey",Paterson Catholic,78,265,,4,,16,Pittsburgh,2010
lb,Shaydon Akuna,"Kapolei, Hawaii",Kapolei,78,210,,4,,16,Oregon State,2010
ath,Jonathan Dowling,"Bradenton, Florida",Southeast,78,178,,4,,16,Florida,2010
ol,Shep Klinke,"Katy, Texas",Katy,78,290,,4,,16,Texas A&M,2010
te,Ethan Farmer,"Tabor City, North Carolina",South Columbus,78,257,,3,,16,North Carolina,2010
dt,Ivan Robinson,"Longville, Louisiana",S Beauregard,78,260,,4,,16,Texas A&M,2010
de,Bryan Murphy,"Ramsey, New Jersey",Don Bosco Prep,0,235,,4,,16,Pittsburgh,2010
db,Darius Robinson,"Atlanta, Georgia",Westlake,78,170,,4,,16,Clemson,2010
wr,Michaelee Harris,"Miami, Florida",Northwestern,78,167,,4,,16,Louisville,2010
qb,Tyler Smith,"Easton, Pennsylvania",Wilson Area,78,195,,3,,16,Maryland,2010
db,David Amerson,"Greensboro, North Carolina",Dudley,0,180,,4,,16,North Carolina State,2010
ol,Chase Hughes,"Springville, Alabama",Springville,0,290,,3,,16,Mississippi,2010
rb,Dejor Simmons,"Virginia Beach, Virginia",Green Run,65,170,,3,,16,James Madison,2010
qb,Pete Thomas,"El Cajon, California",Valhalla,0,220,,4,,16,Colorado State,2010
rb,Cameron Roberson,"Newbury Park, California",Newbury Park,78,215,,4,,17,Notre Dame,2010
ath,Keanon Lowe,"Portland, Oregon",Jesuit,65,170,,4,,17,Oregon,2010
rb,Marcus Shaw,"Arcadia, Florida",De Soto,65,187,,3,,17,South Florida,2010
