position,name,location,school,height,weight,fourty,stars,rating,rank,institution,year
rb,Leonard Fournette,"New Orleans, Louisiana",St. Augustine,78,225,,5,,1,LSU,2014
rb,Joe Mixon,"Oakley, California",Freedom,78,207,,5,,1,Oklahoma,2014
qb,Deshaun Watson,"Gainesville, Georgia",Gainesville,78,188,,5,,1,Clemson,2014
ol,Cameron Robinson,"West Monroe, Louisiana",West Monroe,78,320,,5,,1,Alabama,2014
de,Da'Shawn Hand,"Woodbridge, Virginia",Woodbridge Senior,78,260,,5,,1,Alabama,2014
de,Myles Garrett,"Arlington, Texas",Martin,78,245,,5,,1,Texas A&M,2014
qb,Kyle Allen,"Scottsdale, Arizona",Desert Mountain,78,195,,5,,1,Texas A&M,2014
lb,Raekwon McMillan,"Hinesville, Georgia",Liberty County,78,235,,5,,1,Ohio State,2014
ath,Adoree' Jackson,"Gardena, California",Junipero Serra,65,172,,5,,1,USC,2014
db,Quin Blanding,"Virginia Beach, Virginia",Bayside,78,206,,5,,1,Virginia,2014
db,Jabrill Peppers,"Paramus, New Jersey",Paramus Catholic,78,210,,5,,1,Michigan,2014
dt,Andrew Brown,"Chesapeake, Virginia",Oscar Smith,78,298,,5,,1,Virginia,2014
te,Jeb Blazevich,"Charlotte, North Carolina",Christian,78,240,,4,,1,Georgia,2014
ol,Joshua Casher,"Mobile, Alabama",St. Paul's,78,300,,4,,1,Alabama,2014
ol,Damien Mama,"Bellflower, California",St. John Bosco,78,360,,4,,1,USC,2014
wr,Travis Rudolph,"West Palm Beach, Florida",Cardinal Newman,78,189,,5,,1,Florida State,2014
rb,Kamryn Pettway,"Prattville, Alabama",Prattville,78,230,,3,,1,Auburn,2014
lb,Rashaan Evans,"Auburn, Alabama",Auburn,78,218,,5,,1,Alabama,2014
k,Gary Wunderlich,"Memphis, Tennessee",Memphis University School,78,180,,3,,1,Mississippi,2014
de,Malik McDowell,"Southfield, Michigan",Southfield,78,292,,5,,2,Michigan State,2014
rb,Dalvin Cook,"Miami, Florida",Miami Central,65,192,,5,,2,Florida State,2014
wr,Malachi Dupre,"River Ridge, Louisiana",John Curtis,78,175,,5,,2,LSU,2014
db,Marlon Humphrey,"Hoover, Alabama",Hoover,78,175,,5,,2,Alabama,2014
db,John Smith,"Long Beach, California",Poly,78,207,,5,,2,USC,2014
ol,Damian Prince,"Forestville, Maryland",Bishop McNamara,78,292,,5,,2,Maryland,2014
ath,Bo Scarbrough,"Northport, Alabama",Tuscaloosa County,78,234,,5,,2,Alabama,2014
qb,Will Grier,"Davidson, North Carolina",Davidson Day,78,177,,4,,2,Florida,2014
de,Chad Thomas,"Miami, Florida",Booker T. Washington,78,229,,5,,2,Miami (FL),2014
rb,Racean Thomas,"Oxford, Alabama",Oxford,65,198,,5,,2,Auburn,2014
ol,Demetrius Knox,"Fort Worth, Texas",All Saints Episcopal,78,287,,4,,2,Ohio State,2014
lb,Tre Williams,"Mobile, Alabama",St. Paul's,78,220,,5,,2,Auburn,2014
te,Daniel Helm,"Chatham, Illinois",Glenwood,78,216,,4,,2,Tennessee,2014
ol,Toa Lobendahn,"La Habra, California",La Habra,78,290,,4,,2,USC,2014
dt,Thomas Holley,"Brooklyn, New York",Abraham Lincoln,78,299,,4,,2,Florida,2014
lb,Dillon Bates,"Ponte Vedra, Florida",Ponte Vedra,78,219,,4,,2,Tennessee,2014
k,Mike Knoll,"Cuyahoga Falls, Ohio",Walsh Jesuit,78,200,,3,,2,Boston College,2014
qb,Keller Chryst,"Palo Alto, California",Palo Alto,78,230,,4,,2,Stanford,2014
rb,Jaylen Samuels,"Charlotte, North Carolina",Mallard Creek,78,225,,3,,2,North Carolina State,2014
rb,Christian McCaffrey,"Highlands Ranch, Colorado",Valor Christian,78,193,,4,,3,Stanford,2014
db,Jamal Adams,"Lewisville, Texas",Hebron,78,199,,4,,3,LSU,2014
rb,Sony Michel,"Plantation, Florida",American Heritage,65,205,,5,,3,Georgia,2014
de,Lorenzo Carter,"Norcross, Georgia",Norcross,78,235,,4,,3,Georgia,2014
ol,Braden Smith,"Olathe, Kansas",Olathe South Sr,78,275,,4,,3,Auburn,2014
db,Jalen Tabor,"Washington, District of Columbia",Friendship Collegiate Academy,78,186,,5,,3,Florida,2014
qb,Treon Harris,"Miami, Florida",Booker T. Washington,65,180,,4,,3,Florida,2014
de,Solomon Thomas,"Coppell, Texas",Coppell,78,263,,4,,3,Stanford,2014
wr,Speedy Noil,"New Orleans, Louisiana",Edna Karr,78,161,,5,,3,Texas A&M,2014
rb,Jacob Kraut,"Neptune Beach, Florida",Fletcher,65,240,,3,,3,Rutgers,2014
lb,Clifton Garrett,"Joliet, Illinois",Plainfield South,78,222,,4,,3,LSU,2014
dt,Travonte Valentine,"Hialeah, Florida",Champagnat Catholic,78,286,,4,,3,LSU,2014
lb,Christian Miller,"Columbia, South Carolina",Spring Valley,78,215,,4,,3,Alabama,2014
ol,J.C. Hassenauer,"Woodbury, Minnesota",East Ridge,78,295,,4,,3,Alabama,2014
ol,Quenton Nelson,"Red Bank, New Jersey",Red Bank Catholic,78,301,,5,,3,Notre Dame,2014
qb,David Cornwell,"Norman, Oklahoma",North,78,235,,4,,3,Alabama,2014
te,Dalton Schultz,"South Jordan, Utah",Bingham,78,233,,4,,3,Stanford,2014
ath,Ronnie Clark,"Calera, Alabama",Calera,78,220,,4,,3,Alabama,2014
k,Aaron Medley,"Lewisburg, Tennessee",Marshall County,78,170,,3,,3,Tennessee,2014
db,Tony Brown,"Beaumont, Texas",Ozen,78,182,,5,,4,Alabama,2014
rb,Elijah Hood,"Charlotte, North Carolina",Charlotte Catholic,65,221,,5,,4,North Carolina,2014
qb,Sean White,"Fort Lauderdale, Florida",University School,78,204,,4,,4,Auburn,2014
ol,Alec Eberle,"Mechanicsville, Virginia",Atlee,78,270,,4,,4,Florida State,2014
dt,Derrick Nnadi,"Virginia Beach, Virginia",Ocean Lakes,78,299,,4,,4,Florida State,2014
de,Jalyn Holmes,"Norfolk, Virginia",Lake Taylor,78,235,,4,,4,Ohio State,2014
lb,Korie Rogers,"Buford, Georgia",Buford,78,218,,4,,4,Clemson,2014
ath,Michiah Quick,"Fresno, California",Central East,78,170,,4,,4,Oklahoma,2014
qb,Jerrod Heard,"Denton, Texas",Guyer,78,193,,4,,4,Texas,2014
lb,Dante Booker,"Akron, Ohio",St. Vincent-St. Mary,78,210,,4,,4,Ohio State,2014
wr,Josh Malone,"Gallatin, Tennessee",Station Camp,78,195,,5,,4,Tennessee,2014
