position,name,location,school,height,weight,fourty,stars,rating,rank,institution,year
ol,Laremy Tunsil,"Lake City, Florida",Columbia,78,295,,5,,1,Mississippi,2013
db,Vernon Hargreaves III,"Tampa, Florida",Wharton,65,185,,5,,1,Florida,2013
lb,Reuben Foster,"Auburn, Alabama",Auburn,78,244,,5,,1,Alabama,2013
te,O.J. Howard,"Autauga, Alabama",Autauga Academy,78,235,,5,,1,Alabama,2013
db,Su'a Cravens,"Murrieta, California",Vista Murrieta,78,205,,5,,1,USC,2013
lb,Jaylon Smith,"Fort Wayne, Indiana",Bishop Luers,78,212,,5,,1,Notre Dame,2013
wr,Laquon Treadwell,"Crete, Illinois",Crete Monee,78,198,,5,,1,Mississippi,2013
de,Robert Nkemdiche,"Loganville, Georgia",Grayson,78,260,,5,,1,Mississippi,2013
qb,Max Browne,"Sammamish, Washington",Skyline,78,215,,5,,1,USC,2013
dt,Kenny Bigelow,"Elkton, Maryland",Eastern Christian Academy,78,295,,5,,1,USC,2013
de,Carl Lawson,"Alpharetta, Georgia",Milton,78,253,,5,,1,Auburn,2013
rb,Taquan Mizzell,"Virginia Beach, Virginia",Bayside,65,183,,5,,1,Virginia,2013
rb,Derrick Green,"Richmond, Virginia",Hermitage,78,220,,5,,1,Michigan,2013
ath,Jalin Marshall,"Middletown, Ohio",Middletown,65,196,,4,,1,Ohio State,2013
ol,Darius James,"Killeen, Texas",Harker Heights,78,319,,4,,1,Texas,2013
qb,Troy Williams,"Harbor City, California",Narbonne,78,173,,4,,1,Washington,2013
rb,Augustus Edwards,"Staten Island, New York",Tottenville,78,222,,3,,1,Miami (FL),2013
ol,Khaliel Rodgers,"Elkton, Maryland",Eastern Christian Academy,78,300,,4,,1,USC,2013
k,Michael Geiger,"Toledo, Ohio",Ottawa Hills,65,180,,3,,1,Michigan State,2013
de,Jonathan Allen,"Ashburn, Virginia",Stone Bridge,78,263,,5,,2,Alabama,2013
lb,Alex Anzalone,"Wyomissing, Pennsylvania",Wyomissing Area,78,229,,5,,2,Florida,2013
lb,Matthew Thomas,"Miami, Florida",Booker T. Washington,78,205,,5,,2,Florida State,2013
qb,Christian Hackenberg,"Fork Union, Virginia",Fork Union Military Academy,78,212,,5,,2,Penn State,2013
db,Kendall Fuller,"Olney, Maryland",Good Counsel,65,189,,5,,2,Virginia Tech,2013
ol,Brandon Kublanow,"Marietta, Georgia",Walton,78,289,,4,,2,Georgia,2013
db,Leon McQuay III,"Seffner, Florida",Armwood,78,185,,5,,2,USC,2013
wr,Marquez North,"Charlotte, North Carolina",Mallard Creek,78,205,,4,,2,Tennessee,2013
rb,Alvin Kamara,"Norcross, Georgia",Norcross,65,197,,4,,2,Alabama,2013
ol,Dorian Johnson,"Belle Vernon, Pennsylvania",Belle Vernon Area,78,280,,5,,2,Pittsburgh,2013
dt,Eddie Vanderdoes,"Auburn, California",Placer,78,310,,5,,2,Notre Dame,2013
