position,name,location,school,height,weight,fourty,stars,rating,rank,institution,year
ol,Mike Adams,"Dublin, Ohio",Coffman,0,308,,5,,1,Ohio State,2008
de,DaQuan Bowers,"Bamberg, South Carolina",Bamberg-Ehrhardt,78,267,,5,,1,Clemson,2008
qb,Terrelle Pryor,"Jeannette, Pennsylvania",Jeannette,78,235,,5,,1,Ohio State,2008
wr,Julio Jones,"Foley, Alabama",Foley,78,215,,5,,1,Alabama,2008
qb,Blaine Gabbert,"Ballwin, Missouri",Parkway West,0,226,,5,,1,Missouri,2008
lb,Nigel Bradham,"Crawfordville, Florida",Wakulla,78,230,,5,,1,Florida State,2008
db,Patrick Johnson,"Pompano Beach, Florida",Blanche Ely,0,193,,5,,1,LSU,2008
rb,Darrell Scott,"Ventura, California",St. Bonaventure,0,204,,5,,1,Colorado,2008
te,Kyle Rudolph,"Cincinnati, Ohio",Elder,78,229,,5,,1,Notre Dame,2008
ol,Trevor Robinson,"Omaha, Nebraska",Elkhorn,0,304,,4,,1,Notre Dame,2008
ath,Will Hill,"Jersey City, New Jersey",St. Peter's Prep,0,203,,5,,1,Florida,2008
ol,Barrett Jones,"Memphis, Tennessee",Evangelical Christian School,0,271,,4,,1,Alabama,2008
de,R.J. Washington,"Keller, Texas",Fossil Ridge,0,245,,5,,1,Oklahoma,2008
dt,Marcus Forston,"Miami, Florida",Northwestern,0,286,,5,,1,Miami (FL),2008
lb,Etienne Sabino,"Miami, Florida",Dr. Krop,0,222,,4,,1,Ohio State,2008
rb,Jamie Harper,"Jacksonville, Florida",Trinity Christian,0,210,,4,,1,Clemson,2008
rb,DeSean Hales,"Klein, Texas",Oak,65,165,,4,,1,Texas,2008
db,Aaron Williams,"Round Rock, Texas",McNeil,78,175,,4,,1,Texas,2008
k,Quinn Sharp,"Mansfield, Texas",Mansfield Summit,78,185,,3,,1,Oklahoma State,2008
qb,E.J. Manuel,"Virginia Beach, Virginia",Bayside,78,215,,4,,2,Florida State,2008
wr,A.J. Green,"Summerville, South Carolina",Summerville,0,184,,5,,2,Georgia,2008
qb,Dayne Crist,"Sherman Oaks, California",Notre Dame,0,228,,5,,2,Notre Dame,2008
lb,Arthur Brown,"Wichita, Kansas",Wichita East,0,210,,5,,2,Miami (FL),2008
ol,Baker Steinkuhler,"Lincoln, Nebraska",Lincoln Southwest,78,290,,5,,2,Nebraska,2008
db,Alonzo Lawrence,"Lucedale, Mississippi",George County,78,187,,4,,2,Alabama,2008
rb,Jermie Calhoun,"Van, Texas",Van,0,210,,5,,2,Oklahoma,2008
dt,Omar Hunter,"Buford, Georgia",Buford,78,295,,5,,2,Florida,2008
ath,Richard Samuel,"Cartersville, Georgia",Cass,0,197,,5,,2,Georgia,2008
de,Nick Perry,"Detroit, Michigan",Martin Luther King,78,235,,4,,2,USC,2008
te,Blake Ayles,"Orange, California",Lutheran,78,245,,4,,2,USC,2008
ol,A.J. Harmon,"Louisville, Georgia",Jefferson County,0,308,,4,,2,Georgia,2008
db,Ramon Buchanan,"Melbourne, Florida",Palm Bay,0,181,,4,,2,Miami (FL),2008
ol,Hamani Stevens,"Hemet, California",Hemet,0,290,,4,,2,Oregon,2008
rb,Ryan Bass,"Corona, California",Centennial,0,186,,4,,2,Arizona State,2008
lb,Lynn Katoa,"Salt Lake City, Utah",Cottonwood Senior,78,220,,4,,2,Colorado,2008
de,Ethan Johnson,"Portland, Oregon",Lincoln,0,266,,4,,2,Notre Dame,2008
k,Jeff Locke,"Phoenix, Arizona",Mountain Ridge,78,185,,3,,2,UCLA,2008
rb,Ryan Roberson,"Brenham, Texas",Brenham,65,210,,3,,2,Texas,2008
wr,DeVier Posey,"Cincinnati, Ohio",La Salle,0,190,,5,,3,Ohio State,2008
ol,Matt Kalil,"Anaheim, California",Servite,0,281,,5,,3,USC,2008
db,Rahim Moore,"Los Angeles, California",Dorsey,0,185,,4,,3,UCLA,2008
qb,Mike Glennon,"Centreville, Virginia",Westfield,0,194,,4,,3,North Carolina State,2008
rb,Richard Watson,"Tallahassee, Florida",FAMU High,0,227,,3,,3,Georgia Tech,2008
