position,name,location,school,height,weight,fourty,stars,rating,rank,institution,year
ol,Eugene Monroe,"Plainfield, New Jersey","",0,319,,5,,1,Virginia,2005
qb,Ryan Perrilloux,"Reserve, Louisiana",East St. John,0,207,,5,,1,LSU,2005
qb,Mark Sanchez,"Mission Viejo, California","",0,211,,5,,1,USC,2005
ath,Derrick Williams,"Greenbelt, Maryland",Eleanor Roosevelt,0,189,,5,,1,Penn State,2005
lb,Rey Maualuga,"Eureka, California","",0,253,,5,,1,USC,2005
te,Martellus Bennett,"Alief, Texas",Taylor,78,237,,5,,1,Texas A&M,2005
rb,Jonathan Stewart,"Lacey, Washington",Timberline,0,224,,5,,1,Oregon,2005
db,Kenneth Phillips,"Miami, Florida",Carol City,78,195,,5,,1,Miami (FL),2005
db,Justin King,"Pittsburgh, Pennsylvania",Gateway,0,183,,5,,1,Penn State,2005
de,Melvin Alaeze,"Randallstown, Maryland","",78,277,,5,,1,Maryland,2005
rb,Antone Smith,"Pahokee, Florida","",65,181,,5,,1,Florida State,2005
ol,Marques Slocum,"Philadelphia, Pennsylvania",West Catholic,78,331,,4,,1,Michigan,2005
dt,DeMarcus Granger,"Dallas, Texas",Kimball,78,315,,5,,1,Oklahoma,2005
rb,Kalvin Bailey,"Seffner, Florida",Armwood,65,245,,4,,1,Iowa,2005
k,Jordan Congdon,"San Diego, California",St. Augustine,65,185,,3,,1,Nebraska,2005
de,Averell Spicer,"Rancho Cucamonga, California","",78,260,,4,,1,USC,2005
lb,Tray Blackmon,"LaGrange, Georgia","",78,200,,5,,1,Auburn,2005
wr,Patrick Turner,"Nashville, Tennessee",Goodpasture,78,210,,5,,1,USC,2005
ol,Josh McNeil,"Collins, Mississippi","",78,290,,4,,1,Tennessee,2005
wr,Fred Rouse,"Tallahassee, Florida",Lincoln,78,190,,5,,2,Florida State,2005
lb,Ryan Reynolds,"Las Vegas, Nevada",Bishop Gorman,0,216,,5,,2,Oklahoma,2005
ath,Darren McFadden,"Little Rock, Arkansas",Oak Grove,0,198,,5,,2,Arkansas,2005
dt,Callahan Bright,"Bryn Mawr, Pennsylvania",Harriton,0,315,,5,,2,Florida State,2005
lb,Derek Nicholson,"Winston Salem, North Carolina",Mt. Tabor,78,220,,4,,2,Florida State,2005
rb,Jorvorskie Lane,"Lufkin, Texas","",78,240,,4,,2,Texas A&M,2005
ol,Reginald Youngblood,"Houston, Texas",Booker T. Washington,78,280,,5,,2,Miami (FL),2005
te,Anthony Moeaki,"Wheaton, Illinois",South,78,250,,4,,2,Iowa,2005
qb,Jake Christensen,"Lockport, Illinois","",78,200,,4,,2,Iowa,2005
qb,Jonathan Crompton,"Waynesville, North Carolina",Tuscola Senior,78,211,,4,,2,Tennessee,2005
rb,Marlon Lucky,"North Hollywood, California","",78,202,,5,,2,Nebraska,2005
k,Zoltan Mesko,"Twinsburg, Ohio",Twinsburg,78,230,,3,,2,Michigan,2005
rb,LaMarcus Coker,"Antioch, Tennessee","",65,184,,4,,2,Tennessee,2005
db,Will Harris,"Covina, California",Charter Oak,78,195,,4,,2,USC,2005
ol,Mike Harness,"Columbus, Georgia",Pacelli Catholic,78,281,,4,,2,Auburn,2005
db,Demetrice Morley,"Miami, Florida",Killian,78,176,,5,,2,Tennessee,2005
de,Kyle Moore,"Warner Robins, Georgia",Houston County,78,247,,4,,2,USC,2005
ol,Chris Scott,"Lovejoy, Georgia","",78,300,,4,,2,Tennessee,2005
de,Al Jones,"New Orleans, Louisiana",St. Augustine,78,236,,4,,2,LSU,2005
wr,DeSean Jackson,"Long Beach, California",Poly,65,170,,5,,3,California,2005
db,Keenan Clayton,"Sulphur Springs, Texas","",78,205,,4,,3,Oklahoma,2005
ol,Alex Boone,"Lakewood, Ohio",St. Edward,0,296,,5,,3,Ohio State,2005
ath,Victor Harris,"Highland Springs, Virginia","",78,185,,5,,3,Virginia Tech,2005
rb,Jason Gwaltney,"Long Island, New York",North Babylon,0,234,,5,,3,West Virginia,2005
qb,Ike Whitaker,"Germantown, Maryland",Northwest,78,198,,4,,3,Virginia Tech,2005
lb,Eugene Hayes,"Greenville, Florida",Madison,78,206,,4,,3,Florida State,2005
ol,Jesse White,"Denver, Colorado",Mullen,78,295,,4,,3,Oklahoma,2005
db,Jamario O'Neal,"Cleveland, Ohio",Glenville Academic Campus,78,190,,4,,3,Ohio State,2005
rb,Russell Ball,"La Marque, Texas","",65,165,,4,,3,Florida State,2005
ol,Michael Shumard,"Killeen, Texas",Harker Heights,78,290,,4,,3,Texas A&M,2005
te,Dajleon Farr,"Galena Park, Texas",North Shore,78,235,,4,,3,Miami (FL),2005
dt,Jerrell Powe,"Waynesboro, Mississippi",Wayne County,78,352,,5,,3,Mississippi,2005
qb,Harrison Beck,"Clearwater, Florida",Countryside,78,205,,4,,3,Nebraska,2005
